我,wǒ,I/me,ฉัน/ผม,tôi,ຂ້ອຍ,je/moi,私/わたし,나/저,я,ich,yo
你,nǐ,you,คุณ,bạn,ເຈົ້າ,tu/vous,あなた,너/당신,ты/вы,du/Sie,tú/usted
他,tā,he/him,เขา(ผู้ชาย),anh ấy,ລາວ(ຜູ້ຊາຍ),il/lui,彼,그,он,er,él
她,tā,she/her,เธอ(ผู้หญิง),cô ấy,ນາງ,elle,彼女,그녀,она,sie,ella
是,shì,be (am/is/are),เป็น/คือ,là,ແມ່ນ,être,です/である,이다,быть,sein,ser/estar
吗,ma,(interrogative particle for yes/no questions),ไหม (คำเสริมถาม),trợ từ nghi vấn,ບໍ? (ຄຳສອບ),particule interrogative,か (疑問),까/니? (의문),ли? (вопросит.),Fragepartikel,¿…? (partícula)
不,bù,no,ไม่/ไม่ใช่,không,ບໍ່,non/pas,不/いいえ,아니/아니요,не,nicht/kein,no
好,hǎo,good,ดี,tốt,ດີ,bien/bon,良い,좋다,хорошо/добрый,gut,bien
很,hěn,quite/very,มาก/ค่อนข้าง,rất/khá,ຫຼາຍ/ເຂັ້ມ,très/assez,とても/かなり,매우/꽤,очень/довольно,sehr/ziemlich,muy/bastante
什么,shén me,what/why,อะไร/ทำไม,gì/tại sao,ຫຍັງ/ເປັນຫຍັງ,quoi/pourquoi,何/なぜ,무엇/왜,что/почему,was/warum,qué/por qué
名字,míng zi,name,ชื่อ,tên,ຊື່,nom,名前,이름,имя,Name,nombre
叫,jiào,call,เรียก/ชื่อ,gọi,ເອີ້ນ/ຊື່,appeler/s’appeler,呼ぶ/と言う,부르다/라고 하다,звать/называться,nennen/heißen,llamar/llamarse
谢谢,xiè xie,thank you,ขอบคุณ,cảm ơn,ຂອບໃຈ,merci,ありがとう,감사합니다/고마워요,спасибо,danke,gracias
再见,zài jiàn,good-bye,ลาก่อน,tạm biệt,ລາກ່ອນ,au revoir,さようなら,안녕히 가세요/계세요,до свидания,auf Wiedersehen,adiós/hasta luego
喂,wèi,hello,ฮัลโหล,alo,ໂຮ້ຍ/ຮີ້ (โทร),allô,もしもし,여보세요,алло,hallo,aló/¿diga?
请,qǐng,please,กรุณา/เชิญ,xin vui lòng/mời,ກະລຸນາ/ເຊີນ,s’il vous plaît/priez de,お願いします/どうぞ,부탁/제발/초대,пожалуйста/приглашать,bitte/bitten,por favor/invitar
一,yī,one,หนึ่ง,một,ໜຶ່ງ,un,一,하나,один,eins,uno
二,èr,two,สอง,hai,ສອງ,deux,二,둘,два,zwei,dos
三,sān,three,สาม,ba,ສາມ,trois,三,셋,три,drei,tres
四,sì,four,สี่,bốn,ສີ່,quatre,四,넷,четыре,vier,cuatro
五,wǔ,five,ห้า,năm,ຫ້າ,cinq,五,다섯,пять,fünf,cinco
六,liù,six,หก,sáu,ຫົກ,six,六,여섯,шесть,sechs,seis
七,qī,seven,เจ็ด,bảy,ເຈັດ,sept,七,일곱,семь,sieben,siete
八,bā,eight,แปด,tám,ແປດ,huit,八,여덟,восемь,acht,ocho
九,jiǔ,nine,เก้า,chín,ເກົ້າ,neuf,九,아홉,девять,neun,nueve
十,shí,ten,สิบ,mười,ສິບ,dix,十,열,десять,zehn,diez
这 (这儿),zhè (zhèr),this (here),นี่/ตรงนี้,này/đây,ນີ້/ທີ່ນີ້,ceci/ici,これ/ここ,이것/여기,это/здесь,dies/dieser/hier,esto/aquí
那 (那儿),nà (nàr),that (there),นั่น/ตรงนั้น,kia/đó,ນັ້ນ/ທີ່ນັ້ນ,cela/là-bas,それ/あそこ,저것/거기/저기,то/там,das dort/dort,eso/allí
哪,nǎ,which,ไหน/อันไหน,nào,ໃສ/ອັນໃດ,quel/lequel,どれ/どの,어느/어떤,какой/который,welcher,cuál/qué
哪儿,nǎr,where,ที่ไหน,ở đâu,ຢູ່ໃສ,où,どこ,어디,где,wo,dónde
谁,shéi,who,ใคร,ai,ໃຜ,qui,だれ,누구,кто,wer,quién
多少,duō shǎo,how many/how much,เท่าไร/กี่,bao nhiêu,ເທົ່າໃດ/ຫຼາຍເທົ່າໃດ,combien,いくつ/どのくらい,얼마/몇,сколько,wieviel/wie viele,cuánto/cuántos
个,gè,(for normal objects),อัน/ชิ้น,cái (lượng từ),ອັນ (ລວມ),classificateur générique,個 (量詞),개 (양사),сч. сл. (штук),Stück/Zählwort,clasificador general
钱,qián,money,เงิน,tiền,ເງິນ,argent,お金,돈,деньги,Geld,dinero
块,kuài,piece/chunk,ชิ้น/ก้อน/หยวน,khối/miếng/nhân dân tệ,ກ້ອນ/ຊິ້ນ/ຢວນ,morceau/unité yuán,塊/元,덩어리/위안,кусок/юань,Stück/Yuan,trozo/yuan
爸爸,bà ba,father,พ่อ,bố/cha,ພໍ່,papa/père,お父さん/父,아빠/아버지,папа/отец,Papa/Vater,papá/padre
妈妈,mā ma,mother,แม่,mẹ,ແມ່,maman/mère,お母さん/母,엄마/어머니,мама/мать,Mama/Mutter,mamá/madre
家,jiā,home,บ้าน/ครอบครัว,nhà/gia đình,ບ້ານ/ຄອບຄົວ,maison/famille,家/家庭,집/가정,дом/семья,Haus/Familie,casa/familia
有,yǒu,have,มี,có,ມີ,avoir/il y a,ある/持つ,있다,иметь/есть,haben/es gibt,tener/haber
和,hé,and,และ/กับ,và,ແລະ/ກັບ,et/avec,と/そして,그리고/와,и/с,und/mit,y/con
人,rén,person,คน,người,ຄົນ,personne/gens,人,사람,человек,Mensch/Leute,persona/gente
老师,lǎo shī,teacher,ครู,giáo viên/thầy/cô,ຄູ/ອາຈານ,professeur,先生/教師,선생님/교사,учитель/преподаватель,Lehrer/Lehrerin,profesor/a
学生,xué shēng,student,นักเรียน/นักศึกษา,học sinh/sinh viên,ນັກຮຽນ/ນັກສຶກສາ,élève/étudiant,学生,학생/대학생,ученик/студент,Schüler/Student,estudiante/alumno
同学,tóng xué,classmate,เพื่อนร่วมชั้น,bạn cùng lớp,ເພື່ອນຮ່ວມຊັ້ນ,camarade de classe,同級生,반친구/동급생,одноклассник/сокурсник,Klassenkamerad,compañero de clase
朋友,péng you,friend,เพื่อน,bạn,ໝູ່/ເພື່ອນ,ami(e),友達,친구,друг/подруга,Freund/Freundin,amigo/a
医生,yī shēng,doctor,หมอ/แพทย์,bác sĩ,ທ່ານໝໍ,médecin,医者/医師,의사,врач,Arzt/Ärztin,médico/a
工作,gōng zuò,work,งาน/ทำงาน,công việc/làm việc,ວຽກ/ເຮັດວຽກ,travail/travailler,仕事/働く,일/일하다,работа/работать,Arbeit/arbeiten,trabajo/trabajar
吃,chī,eat,กิน,ăn,ກິນ,manger,食べる,먹다,есть,essen,comer
喝,hē,drink,ดื่ม,uống,ດື່ມ,boire,飲む,마시다,пить,trinken,beber
水,shuǐ,water,น้ำ,nước,ນ້ຳ,eau,水,물,вода,Wasser,agua
茶,chá,tea,ชา,trà,ນ້ຳຊາ,thé,お茶,차,чай,Tee,té
菜,cài,dish,ผัก/อาหาร,món ăn/rau,ອາຫານ/ຜັກ,plat/légumes,料理/野菜,요리/채소,блюдо/овощи,Gericht/Gemüse,plato/verduras
米饭,mǐ fàn,rice,ข้าวสวย,cơm,ເຂົ້າສາຍ/ເຂົ້າສຸກ,riz cuit,ご飯,밥,варёный рис,gekochter Reis,arroz (cocido)
水果,shuǐ guǒ,fruit,ผลไม้,trái cây,ໝາກໄມ້,fruit(s),果物,과일,фрукты,Obst,fruta
苹果,píng guǒ,apple,แอปเปิ้ล,táo,ໝາກແອັບເປີ້ນ,pomme,りんご,사과,яблоко,Apfel,manzana
杯子,bēi zi,cup,แก้ว/ถ้วย,cốc/ly,ຖ້ວຍ/ແກ້ວ,tasse/verre,コップ/カップ,컵,чашка/стакан,Tasse/Becher/Glas,taza/vaso
饭店,fàn diàn,restaurant,ร้านอาหาร/โรงแรม,nhà hàng/khách sạn,ຮ້ານອາຫານ/ໂຮງແຮມ,restaurant/hôtel,レストラン/ホテル,식당/호텔,ресторан/отель,Restaurant/Hotel,restaurante/hotel
商店,shāng diàn,store,ร้านค้า,cửa hàng,ຮ້ານຄ້າ,magasin,店/ショップ,가게/상점,магазин,Laden/Geschäft,tienda
买,mǎi,buy,ซื้อ,mua,ຊື້,acheter,買う,사다,покупать,kaufen,comprar
今天,jīn tiān,today,วันนี้,hôm nay,ມື້ນີ້,aujourd’hui,今日,오늘,сегодня,heute,hoy
明天,míng tiān,tomorrow,พรุ่งนี้,ngày mai,ມື້ອື່ນ,demain,明日,내일,завтра,morgen,mañana
昨天,zuó tiān,yesterday,เมื่อวาน,hôm qua,ມື້ກ່ອນ,hier,昨日,어제,вчера,gestern,ayer
上午,shàng wǔ,morning,ตอนเช้า,buổi sáng,ເຊົ້າ,matin,午前,오전,утро,Morgen/Vormittag,mañana (temprano)
中午,zhōng wǔ,noon,เที่ยง,buổi trưa,ທ່ຽງ,midi,正午,정오/한낮,полдень,Mittag,mediodía
下午,xià wǔ,afternoon,บ่าย,buổi chiều,ຕອນບ່າຍ,après-midi,午後,오후,после полудня,Nachmittag,tarde
点,diǎn,o'clock,นาฬิกา/โมง,giờ (điểm),ໂມງ,heure/point,時/時刻,시/시각,час/время,Uhr/Stunde,en punto/hora
分钟,fēn zhōng,minute,นาที,phút,ນາທີ,minute,分,분,минута,Minute,minuto
现在,xiàn zài,now,ตอนนี้/ขณะนี้,bây giờ,ຕອນນີ້,maintenant,今/いま,지금,сейчас,jetzt,ahora
年,nián,year,ปี,năm,ປີ,année/an,年,년,год,Jahr,año
月,yuè,month,เดือน/พระจันทร์,tháng,ເດືອນ,mois,月,월,месяц,Monat,mes
号,hào,number/date,หมายเลข/วันที่,số/ngày,ເລກ/ວັນທີ,numéro/date,号/日付,번호/날짜,номер/число/дата,Nummer/Datum,número/fecha
星期,xīng qī,week,สัปดาห์/วันในสัปดาห์,tuần/thứ,ອາທິດ/ວັນທີ່,semaine/jour de la semaine,週/曜日,주/요일,неделя/день недели,Woche/Wochentag,semana/día de la semana
时候,shí hou,time,เวลา/เมื่อไร,lúc/khi,ເວລາ/ເມື່ອໃດ,moment/temps,時/とき,때/시기,время/когда,Zeit/zeitpunkt,cuándo/tiempo
睡觉,shuì jiào,sleep,นอนหลับ,ngủ,ນອນ,dormir,寝る/就寝する,잠자다,спать,schlafen,dormir
学校,xué xiào,school,โรงเรียน,trường học,ໂຮງຮຽນ,école,学校,학교,школа,Schule,escuela
学习,xué xí,study,เรียน/ศึกษา,học/tự học,ຮຽນ,étudier/apprendre,学ぶ/勉強する,공부하다/배우다,учиться/изучать,lernen/studieren,estudiar/aprender
书,shū,book,หนังสือ,sách,ປຶ້ມ,livre,本/書籍,책,книга,Buch,libro
字,zì,character,ตัวอักษร/อักษรจีน,chữ/ký tự,ຕົວອັກສອນ,caractère/lettre,字/文字,글자/문자,иероглиф/буква,Zeichen/Buchstabe,carácter/letra
汉语,hàn yǔ,Mandarin Chinese,ภาษาจีนกลาง,tiếng Hán/tiếng Trung,ພາສາຈີນ,chinois (mandarin),中国語/漢語,중국어,китайский язык,Chinesisch,chino (mandarín)
写,xiě,write,เขียน,viết,ຂຽນ,écrire,書く,쓰다/작성하다,писать,schreiben,escribir
