您,nín,you,คุณ(สุภาพ),ngài/ông/bà,ທ່ານ (ສຸພາບ),vous (politesse),あなた（丁寧）,당신/선생님 (존칭),вы (вежл.),Sie (höflich),usted (formal)
也,yě,also,ก็/ด้วย,cũng,ກໍ່/ດ້ວຍ,aussi,も/もまた,도/또한,тоже/также,auch,también
还,hái,still,ยัง/ยังคง,vẫn/còn,ຍັງ,encore/toujours,まだ/さらに,아직/더,ещё/кроме того,noch/auch,aún/todavía
最,zuì,the most,ที่สุด,nhất,ທີ່ສຸດ,le plus,最も,가장/제일,самый/наиболее,am meisten,lo más
真,zhēn,really,จริงๆ/จริงนะ,thật/sự thật,ແທ້ໆ,vraiment/vrai,本当に/真に,정말/진짜,действительно/правда,wirklich/wahr,de verdad/verdadero
大家,dà jiā,everyone,ทุกคน,mọi người,ທຸກຄົນ,tout le monde,みんな/皆さん,모두/여러분,все/народ,alle/alle Leute,todos/todas
它,tā,it,มัน (สิ่งของ/สัตว์),nó (vật/con),ມັນ (ສິ່ງ/ສັດ),il/elle (neutre),それ,그것,оно,es,ello
每,měi,"every,each",ทุกๆ/แต่ละ,mỗi/đều,ທຸກ/ແຕ່ລະ,chaque,毎/それぞれ,매/각,каждый/каждая,jede(r/s),cada
为什么,wèi shén me,why,ทำไม/เพราะอะไร,tại sao/vì sao,ເປັນຫຍັງ,pourquoi,なぜ/どうして,왜/어째서,почему/зачем,warum/wieso,por qué
零,líng,zero,ศูนย์,không/ số 0,ສູນ,zéro,ゼロ/零,영/제로,ноль,null,cero
两,liǎng,two,สอง (ใช้กับลน.),hai (lượng từ),ສອງ (ໃຊ້ກັບລວມ),deux (devant class.),二/二つ (量詞の前は“二/两”の“両”相当),두 (양사 앞),два (перед сч. сл.),zwei (vor ZW),dos (antes de clas.)
百,bǎi,hundred,ร้อย,trăm,ຮ້ອຍ,cent,百,백,сто,hundert,cien
千,qiān,thousand,พัน,nghìn,ພັນ,mille,千,천,тысяча,tausend,mil
次,cì,times,ครั้ง,lần,ເທື່ອ,fois,回/度,번/차례,раз/случай,Mal,vez/veces
件,jiàn,piece,ชิ้น/เรื่อง (ลน.),cái/việc (lượng từ),ອັນ/ເລື່ອງ (ລວມ),pièce/affaire (class.),件 (量詞),건 (양사),件/дело (сч. сл.),Stück/Fall (Zahlwort),pieza/caso (clas.)
别,bié,do not,อย่า/อย่าได้,đừng,ຢ່າ,ne… pas/arrête,～するな/別に,하지 마/다른,не/не надо/другой,nicht/anderer,no/no lo hagas
非常,fēi cháng,very,อย่างยิ่ง/มากๆ,rất/phi thường,ຫຼາຍຫຼາຍ,très/extrêmement,非常に/とても,매우/대단히,очень/чрезвычайно,sehr/äußerst,muy/extremadamente
觉得,jué de,think,รู้สึกว่า/คิดว่า,cảm thấy/cho rằng,ຮູ້ສຶກ/ເຫັນວ່າ,trouver/penser,感じる/思う,느끼다/생각하다,чувствовать/считать,finden/denken,sentir/opinar
知道,zhī dào,know,รู้/ทราบ,biết,ຮູ້,savoir,知っている,알다,знать,wissen,saber
可以,kě yǐ,can,สามารถ/ได้,có thể/được phép,ສາມາດ/ອະນຸຍາດ,pouvoir/possible,〜してよい/可能,할 수 있다/가능하다,можно/мочь,kann/darf,poder/permitido
要,yào,want,ต้อง/อยาก/จะ,muốn/cần/sắp,ຕ້ອງ/ຢາກ/ຈະ,vouloir/devoir,要る/〜したい/〜するつもり,원하다/필요하다/하려다,хотеть/нужно/собираться,wollen/müssen/werden,querer/necesitar/ir a
可能,kě néng,may,อาจจะ/เป็นไปได้,có thể/khả năng,ອາດຈະ/ເປັນໄປໄດ້,possible/peut-être,可能/かもしれない,가능/아마도,возможно/может быть,möglich/vielleicht,posible/quizá
时间,shí jiān,time,เวลา,thời gian,ເວລາ,temps (temps que),時間,時間/시간,время,Zeit,tiempo
小时,xiǎo shí,hour,ชั่วโมง,giờ (tiếng),ຊົ່ວໂມງ,heure,時間 (時),시간(시),час (время),Stunde,hora
早上,zǎo shàng,morning,ตอนเช้า,buổi sáng,ເຊົ້າ,matin (tôt),朝/朝方,아침,утро (рано),früh am Morgen,por la mañana (temprano)
晚上,wǎn shàng,night,ตอนกลางคืน/ตอนเย็น,buổi tối/đêm,ຕອນແລງ/ກາງຄືນ,soir/nuit,夜/晩,저녁/밤,вечером/ночью,Abend/Nacht,por la tarde/noche
去年,qù nián,last year,ปีที่แล้ว,năm ngoái,ປີກາຍ,l’année dernière,去年,작년,прошлый год,letztes Jahr,el año pasado
生日,shēng rì,birthday,วันเกิด,sinh nhật,ວັນເກີດ,anniversaire,誕生日,생일,день рождения,Geburtstag,cumpleaños
日,rì,date,วันที่/วัน,ngày/nhật,ວັນ/ວັນທີ,jour/date/soleil,日/ひ,일/날짜,день/число,Tag/Datum,día/fecha
起床,qǐ chuáng,get up,ตื่นนอน,dậy,ຕື່ນນອນ,se lever,起きる,일어나다,вставать (с кровати),aufstehen,levantarse
休息,xiū xi,rest,พักผ่อน,nghỉ/nghỉ ngơi,ພັກຜ່ອນ,se reposer/pause,休む/休憩する,휴식하다/쉬다,отдыхать/перерыв,sich ausruhen/Pause,descansar
上班,shàng bān,be on duty,ไปทำงาน/เข้างาน,đi làm,ໄປເຮັດວຽກ,aller au travail,出勤する,출근하다,выходить на работу,zur Arbeit gehen,ir a trabajar
运动,yùn dòng,exercise,ออกกำลังกาย/กีฬา,vận động/thể thao,ອອກກຳລັງກາຍ/ກິລາ,sport/exercice,運動/スポーツ,운동/스포츠,спорт/двигаться,Sport/Bewegung,deporte/ejercicio
玩,wán,play,เล่น/เที่ยว,chơi/vui chơi,ຫຼິ້ນ/ເທື່ອ,chouer/s’amuser,遊ぶ,놀다/놀아요,играть/гулять,spielen/sich amüsieren,jugar/pasear
跑步,pǎo bù,run,วิ่งออกกำลังกาย,chạy bộ,ແລ່ນອອກກຳລັງກາຍ,faire du jogging/courir,走る/ランニングする,조깅하다/달리기,бегать,laufen/joggen,correr
游泳,yóu yǒng,swim,ว่ายน้ำ,bơi,ວ່າຍນ້ຳ,nager,泳ぐ,수영하다,плавать,schwimmen,nadar
唱歌,chàng gē,sing,ร้องเพลง,hát,ຮ້ອງເພງ,chanter,歌う,노래하다,петь,singen,cantar
跳舞,tiào wǔ,dance,เต้นรำ,nhảy múa,ເຕັ້ນຮຳ,danser,踊る,춤추다,танцевать,tanzen,bailar
踢足球,tī zú qiú,play football,เตะฟุตบอล,đá bóng,ຫຼິ້ນບານເຕະ,jouer au foot,サッカーをする,축구를 하다,играть в футбол,Fußball spielen,jugar al fútbol
打篮球,dǎ lán qiú,play basketball,เล่นบาสเกตบอล,chơi bóng rổ,ຫຼິ້ນບານບາດ,jouer au basket,バスケットボールをする,농구를 하다,играть в баскетбол,Basketball spielen,jugar al baloncesto
哥哥,gē ge,older brother,พี่ชาย,anh trai,ພີ່ຊາຍ,grand frère,兄,형/오빠(남성/여성화자),старший брат,älterer Bruder,hermano mayor
姐姐,jiě jie,older sister,พี่สาว,chị gái,ພີ່ສາວ,grande sœur,姉,누나/언니,старшая сестра,ältere Schwester,hermana mayor
弟弟,dì di,younger brother,น้องชาย,em trai,ນ້ອງຊາຍ,petit frère,弟,남동생,младший брат,jüngerer Bruder,hermano menor
妹妹,mèi mei,younger sister,น้องสาว,em gái,ນ້ອງສາວ,petite sœur,妹,여동생,младшая сестра,jüngere Schwester,hermana menor
丈夫,zhàng fu,husband,สามี,chồng,ສາມີ,mari/époux,夫/旦那,남편,муж,Ehemann,esposo
妻子,qī zi,wife,ภรรยา,vợ,ພັນລະຍາ/ເມຍ,femme/épouse,妻/奥さん,아내/부인,жена,Ehefrau,esposa
孩子,hái zi,child,เด็ก/ลูก,con/đứa trẻ,ເດັກ/ລູກ,enfant,子ども,아이/자녀,ребёнок/дети,Kind,niño/a
男人,nán rén,man,ผู้ชาย,đàn ông,ຜູ້ຊາຍ,homme,男の人,남자,мужчина,Mann,hombre
女人,nǚ rén,woman,ผู้หญิง,phụ nữ,ແມ່ຍິງ,femme,女の人,여자,женщина,Frau,mujer
服务员,fú wù yuán,waiter,พนักงานเสิร์ฟ,phục vụ/nhân viên phục vụ,ພະນັກງານບໍລິການ,serveur/serveuse,店員/ウェイター,종업원/서버,официант/официантка,Kellner/in,camarero/a
手机,shǒu jī,cellphone,มือถือ,điện thoại di động,ໂທລະສັບມືຖື,téléphone portable,携帯電話/スマホ,휴대폰/핸드폰,мобильный телефон,Handy/Mobiltelefon,teléfono móvil
手表,shǒu biǎo,watch,นาฬิกาข้อมือ,đồng hồ đeo tay,ນາລິກາຂໍ້ມື,montre (bracelet),腕時計,손목시계,наручные часы,Armbanduhr,reloj de pulsera
电脑,diàn nǎo,computer,คอมพิวเตอร์,máy tính,ຄອມພິວເຕີ,ordinateur,パソコン,컴퓨터,компьютер,Computer,computadora/ordenador
