阿姨,ā yí,aunt,ป้า/น้า/อา,dì/cô,ປ້າ/ນ້າ/ອາ,tante,おばさん/おば,이모/고모,тётя,Tante,tía
啊,a,ah,อา/อ๊ะ (อุทาน),à/á (thán từ),ອາ/ອ້າ (ອຸທານ),ah (interj.),あ/ああ（感嘆）,아/아아 (감탄사),ах/а (межд.),ach/ah (Interj.),ah/¡ay! (interj.)
矮,ǎi,short,เตี้ย/ต่ำ,thấp/lùn,ຕໍ່າ/ເຕັ້ຍ,petit (de taille),背が低い,키가 작다,низкий (рост),klein (Körpergröße),bajo (de estatura)
爱好,ài hào,hobby,งานอดิเรก/ความชอบ,sở thích,ງານອົດິເລກ/ຄວາມມັກ,loisir/passion,趣味,취미,хобби/увлечение,Hobby/Leidenschaft,afición/pasatiempo
安静,ān jìng,Be quiet,เงียบสงบ/เงียบๆ,yên tĩnh/im lặng,ງຽບໆ/ສງົບ,calme/silencieux,静か/静かに,조용하다/조용히,тихо/спокойный,ruhig/leise,tranquilo/silencio
把,bǎ,hold,จับ/ถือ,cầm/nắm,ຈັບ/ຖື,tenir,持つ,잡다/들다,держать,halten,sostener/sujetar
班,bān,class,ชั้น/ห้อง/กะ,lớp/ban/ca,ຫ້ອງ/ກະ/ກຸ່ມ,classe/équipe,クラス/班,반/조/근무조,класс/смена,Klasse/Schicht,clase/turno
搬,bān,move,ขนย้าย/ย้าย,chuyển/dọn,ຍ້າຍ/ຂົນຍ້າຍ,déménager/porter,運ぶ/引っ越す,옮기다/이사하다,переезжать/переносить,umziehen/tragen,mudar/trasladar
半,bàn,half,ครึ่ง,một nửa,ເຄິ່ງ,moitié/demi,半分,절반/반,половина,Hälfte,mitad
办法,bàn fǎ,Way,วิธี/วิธีการ,cách/biện pháp,ວິທີ/ວິທີການ,méthode/moyen,方法/やり方,방법/해결책,способ/метод,Methode/Lösung,método/forma
办公室,bàn gōng shì,Office,สำนักงาน,văn phòng,ຫ້ອງການ,bureau,オフィス/事務室,사무실,офис,Büro,oficina
帮忙,bāng máng,Help,ช่วย/ช่วยเหลือ,giúp (đỡ),ຊ່ວຍ,aider,手伝う,도와주다,помочь,helfen,ayudar
包,bāo,package,ห่อ/พัสดุ,gói/bưu kiện,ພັດສະດຸ/ຫໍ່,paquet/colis,包み/パッケージ,꾸러미/포장,пакет/посылка,Paket,paquete
饱,bǎo,full,อิ่ม,no/đầy bụng,ອີ່ມ,rassasié,おなかいっぱい,배부르다,сыт,satt,lleno/satisfecho
北方,běi fāng,north,ทิศเหนือ/ภาคเหนือ,miền bắc,ທາງເໜືອ,nord,北方/北,북쪽/북방,север/северные регионы,Norden,norte
被,bèi,cover,ปกคลุม/คลุม,che/đậy,ປົກຄຸມ,couvrir,覆う,덮다,покрывать/накрывать,bedecken,cubrir
鼻子,bí zi,nose,จมูก,mũi,ດັງ/ຈົມກູກ,nez,鼻,코,нос,Nase,nariz
比较,bǐ jiào,compare,ค่อนข้าง/เปรียบเทียบ,khá/so sánh,ຄ່ອນຂ້າງ/ປຽບທຽບ,plutôt/comparer,比較的/比べる,비교적/비교하다,сравнительно/сравнивать,vergleichsweise/vergleichen,bastante/comparar
比赛,bǐ sài,Match,การแข่งขัน/แข่ง,trận đấu/thi đấu,ການແຂ່ງຂັນ,match/compétition,試合/競技,경기/시합,матч/соревнование,Wettkampf/Spiel,partido/competición
笔记本,bǐ jì běn,notebook,สมุดบันทึก/โน้ตบุ๊ก,sổ tay/máy tính xách tay,ສົ່ງບັນທຶກ/ໂນດບຸກ,carnet/ordinateur portable,ノート/ノートPC,노트/노트북,блокнот/ноутбук,Notizbuch/Laptop,cuaderno/portátil
必须,bì xū,Must,ต้อง/จำเป็น,phải/bắt buộc,ຈຳເປັນ/ຕ້ອງ,devoir/il faut,必ず/〜ねばならない,반드시/해야 하다,должен/необходимо,müssen,deber/tener que
变化,biàn huà,change,การเปลี่ยนแปลง,thay đổi/biến hóa,ການປ່ຽນແປງ,changement,変化,변화,изменение,Veränderung,cambio
别人,bié ren,Others,คนอื่น,người khác,ຄົນອື່ນ,autre(s),他の人,다른 사람,другие/кто-то другой,andere/anderer,otra gente/los demás
冰箱,bīng xiāng,Refrigerator,ตู้เย็น,tủ lạnh,ຕູ້ເຢັນ,réfrigérateur,冷蔵庫,냉장고,холодильник,Kühlschrank,refrigerador
菜单,cài dān,menu,เมนู,thực đơn/menu,ເມນູ,menu/carte,メニュー,메뉴,меню,Speisekarte/Menü,menú/carta
参加,cān jiā,participate in,เข้าร่วม/ร่วม,tham gia,ເຂົ້າຮ່ວມ,participer/prendre part,参加する,참가하다/참여하다,участвовать,teilnehmen,participar
草,cǎo,grass,หญ้า,cỏ,ຫຍ້າ,herbe/gazon,草,풀/잔디,трава,Gras,hierba/césped
层,céng,layer,ชั้น/ชั้นที่,tầng/lớp,ຊັ້ນ/ຊັ້ນຊອນ,étage/couche,階/層,층/겹,этаж/слой,Etage/Schicht,piso/capa
差,chà,bad,แย่/ไม่ดี,kém/tệ,ບໍ່ດີ,mauvais/médiocre,悪い/劣る,나쁘다/부족하다,плохой/хуже,schlecht/minder,malo/deficiente
超市,chāo shì,Supermarket,ซูเปอร์มาร์เก็ต,siêu thị,ຊູເປີມາເກັດ,supermarché,スーパー,슈퍼마켓,супермаркет,Supermarkt,supermercado
衬衫,chèn shān,shirt,เสื้อเชิ้ต,áo sơ mi,ເສື້ອເຊີ້ດ,chemise,シャツ,셔츠,рубашка,Hemd,camisa
成绩,chéng jì,achievement,ผลการเรียน/ผลงาน,thành tích/điểm số,ຜົນສຳເລັດ/ຄະແນນ,résultat/réussite,成績/成果,성적/성과,успех/оценка,Leistung/Ergebnis,resultado/calificación
城市,chéng shì,City,เมือง,thành phố,ນະຄອນ/ເມືອງ,ville,都市/市,도시,город,Stadt,ciudad
迟到,chí dào,Late,มาสาย,đến muộn,ມາຊ້າ,être en retard,遅刻する,지각하다,опоздать,zu spät kommen,llegar tarde
除了,chú le,except/besides,ยกเว้น/นอกจาก,ngoài ra/ngoại trừ,ຍົກເວັ້ນ/ນອກຈາກ,sauf/hormis/en plus de,〜を除いて/ほかに,제외하고/뿐 아니라,кроме/помимо,außer/zusätzlich zu,excepto/además de
船,chuán,ship,เรือ,thuyền/tàu,ເຮືອ,bateau/navire,船,배/선박,корабль/лодка,Schiff/Boot,barco
春,chūn,spring,ฤดูใบไม้ผลิ,mùa xuân,ລະດູໃບໄມ້ຜຸດ,printemps,春,春/봄,весна,Frühling,primavera
词典,cí diǎn,Dictionaries,พจนานุกรม,từ điển,ພົດຈະນານຸກົມ,dictionnaire,辞書,사전,словарь,Wörterbuch,diccionario
聪明,cōng ming,clever,ฉลาด,thông minh,ສະຫລາດ,intelligent/malin,賢い/頭がいい,똑똑하다,умный,klug,inteligente
打扫,dǎ sǎo,Clean,ทำความสะอาด,dọn dẹp/lau chùi,ກວາດເກັບ/ທຳຄວາມສະອາດ,nettoyer,掃除する,청소하다,убирать/чистить,aufräumen/putzen,limpiar
打算,dǎ suàn,Plan,วางแผน/ตั้งใจ,dự định/kế hoạch,ວາງແຜນ/ຕັ້ງໃຈ,compter/avoir l’intention,つもり/計画する,할 생각이다/계획하다,собираться/планировать,vorhaben/planen,pensar/planear
带,dài,belt,เข็มขัด/สาย/พกพา,dây/nịt; mang theo,ສາຍ/ແອວ; ພາໄປ,ceinture/sangle; apporter,帯/ベルト; 持つ,벨트/띠; 가지고 가다,ремень/полоса; приносить,Gürtel/Riemen; mitbringen,cinturón/correa; llevar
担心,dān xīn,Worry,กังวล,lo lắng,ກັງວົນ,s’inquiéter,心配する,걱정하다,беспокоиться,sich sorgen,preocuparse
蛋糕,dàn gāo,Cake,เค้ก,bánh kem,ເຄກ,gâteau,ケーキ,케이크,торт/пирожное,Kuchen/Torte,pastel/torta
当然,dāng rán,Of course,แน่นอน/ก็แน่สิ,đương nhiên/tất nhiên,ແນ່ນອນ,bien sûr/évidemment,当然/もちろん,당연히,конечно/разумеется,natürlich,claro/por supuesto
灯,dēng,lamp,โคมไฟ/หลอดไฟ,đèn,ໂຄມໄຟ,lampe,ランプ/灯り,등/램프,лампа/светильник,Lampe,lámpara
地方,dì fang,local,ที่/ท้องถิ่น,nơi/chỗ; địa phương,ສະຖານທີ່/ທ້ອງຖິ່ນ,endroit/lieu; local,場所/地域,곳/지역,место; местный,Ort/Gegend,lugar; local
地铁,dì tiě,metro,รถไฟใต้ดิน,tàu điện ngầm,ລົດໄຟໃຕ້ດິນ,métro,地下鉄,지하철,метро,U‑Bahn,metro/subterráneo
地图,dì tú,Map,แผนที่,bản đồ,ແຜນທີ່,carte/plan,地図,지도,карта,Karte/Landkarte,mapa
电梯,diàn tī,Elevator,ลิฟต์,thang máy,ລິດ/ລິຟດ,ascenseur,エレベーター,엘리베이터,лифт,Aufzug/Fahrstuhl,ascensor
