仿佛,fǎng fú,as if,ราวกับ/เหมือนกับ,dường như/như thể,ຄ້າຍຄື/ເຫມືອນກັບ,comme si,まるで,마치/…인 듯,как будто/словно,als ob,como si
少女,shào nǚ,young girl,สาวน้อย/เด็กสาว,thiếu nữ/cô gái trẻ,ເດັກສາວ,jeune fille,少女,소녀,девушка,Mädchen,chica joven
妇人,fù rén,married woman,ผู้หญิงมีครอบครัว/สตรีผู้ใหญ่,phụ nhân/người phụ nữ đã lập gia đình,ສະຕຣີມີຄອບຄົວ,femme mariée,婦人,부인,женщина (замужняя),Frau (verh.),mujer casada
度过,dù guò,spend/pass,ใช้เวลา/ผ่านช่วง,trải qua/dành (thời gian),ຜ່ານຊ່ວງ/ໃຊ້ເວລາ,passer (du temps),過ごす,보내다/지내다,провести/пережить,verbringen,pasar
熟悉,shú xi,know sth.or sb.well/be familiar with,คุ้นเคย/รู้จักดี,quen thuộc/rành,ຄຸ້ນເຄີຍ,bien connaître,詳しい/よく知る,익숙하다,хорошо знать,gut kennen,conocer bien
纷纷,fēn fēn,one after another/in sucession,ทีละราย/พากัน,lần lượt/tấp nập,ຕໍ່ໆກັນ/ພາກັນ,les uns après les autres,次々と,잇따라,один за другим,nach und nach,uno tras otro
争,zhēng,strive(to be the first),แย่ง/แข่งขัน,tranh giành/thi,ແຍ່ງ/ແຂ່ງ,se disputer/lutter pour,争う,다투다/겨루다,бороться/спорить,streiten/um … ringen,disputarse/competir
然而,rán'ér,but/however,อย่างไรก็ตาม/แต่,tuy nhiên/nhưng,ແຕ່ຢ່າງໃດກໍຕາມ,cependant,しかしながら,그러나,однако,jedoch,sin embargo
阵,zhèn,short period,ช่วงหนึ่ง/ครู่หนึ่ง,một trận/một đợt,ຄັ້ງໜຶ່ງ/ຊ່ວງ,un moment/une poussée,ひとしきり,한바탕,приступ/порыв,eine Weile,un rato
短暂,duǎn zàn,brief/short,สั้นๆ/ช่วงสั้น,ngắn ngủi,ສັ້ນ,de courte durée,短い,잠깐의,кратковременный,kurzzeitig,breve
黄昏,huáng hūn,dusk,ยามโพล้เพล้/ค่ำลง,hoàng hôn,ເວລາແລງ,crépuscule,黄昏,황혼,сумерки,Dämmerung,atardecer
茉莉花茶,mo li huā chá,jasmine tea,ชามะลิ,trà hoa nhài,ນ້ຳຊາດອກມະລິ,thé au jasmin,ジャスミンティー,자스민 차,жасминовый чай,Jasmintee,té de jazmín
蝉,chán,cicada,จักจั่น,ve sầu,ແມງຈັກຈັ່ນ,cigale,セミ,매미,цикада,Zikade,cigarra
暴雨,bào yǔ,heavy rain,ฝนตกหนัก,mưa lớn,ຝົນໜັກ,forte pluie/averse,豪雨,폭우,ливень,Starkregen,aguacero
格外,gé wài,especially/particularly,เป็นพิเศษ/มากเป็นพิเศษ,đặc biệt/nhất là,ເປັນພິເສດ,particulièrement,格別に,유난히,особенно,besonders,especialmente
清新,qīng xīn,fresh,สดชื่น/สะอาดสดใส,trong lành/tươi mới,ສົດຊື່ນ,frais/vif,さわやか,산뜻하다,свежий/чистый,frisch/klar,fresco/limpio
瓦,wǎ,tile,กระเบื้องหลังคา,ngói,ກະເບື້ອງຫຼັງຄາ,tuile,瓦,기와,черепица,Dachziegel,teja
划(船),huá(chuán),row a boat,พาย(เรือ),chèo (thuyền),ພາຍ (ເຮືອ),ramer (barque),（ボートを）こぐ,노를 젓다,гребсти (лодку),rudern,remar
经过,jīng guò,pass/go through,ผ่าน/ผ่านไป,đi qua/trải qua,ຜ່ານ/ຜ່ານໄປ,passer/à travers,通る/経る,지나가다/겪다,проходить/пережить,vorbeigehen/durchmachen,pasar/atravesar
结冰,jié bīng,freeze,กลายเป็นน้ำแข็ง,đóng băng,ແຂງເປັນນ້ຳແຂງ,geler/se couvrir de glace,凍る,얼어붙다,замерзать,gefrieren/vereisen,congelarse
