加,jiā,put in/add,ใส่/เพิ่ม,thêm/cho vào,ເພີ່ມ/ໃສ່,ajouter/mettre,加える/入れる,넣다/추가하다,добавить/положить,hinzufügen/einlegen,añadir/poner
盐,yán,salt,เกลือ,muối,ເກືອ,sel,塩,소금,соль,Salz,sal
配,pèi,match,จับคู่/เข้ากัน,phối hợp/hợp,ຈັບຄູ່/ເຂົ້າກັນ,assortir/correspondre,合う/組み合わせる,맞추다/어울리다,сочетать/подходить,passen/kombinieren,combinar/encajar
勇敢,yǒng gǎn,brave/courageous,กล้าหาญ,dũng cảm,ກ້າຫານ,courageux,勇敢な,용감한,смелый/храбрый,mutig,valiente
出于,chū yú,out of,ด้วย/เนื่องจาก,xuất phát từ/do,ມາຈາກ/ເນື່ອງຈາກ,par/du fait de,〜から/によって,~에서 비롯되다,из/по причине,aus/aufgrund,por/debido a
结结巴巴,jiē jiē bā bā,stammer/stutter,ตะกุกตะกัก,nói lắp,ເວົ້າຕະກຸກຕະກັກ,bégayer,どもる,더듬거리다,заикаться,stottern,tartamudear
目光,mù guāng,gaze/look,สายตา/แววตา,ánh mắt,ສາຍຕາ,regard,まなざし/視線,시선/눈빛,взгляд,Blick,mirada
集中,jí zhōng,focus,จดจ่อ/รวมศูนย์,tập trung,ຈົດຈໍ/ຮວບຮວມ,se concentrer,集中する,집중하다,сосредоточиться,sich konzentrieren,concentrarse
举动,jǔ dòng,action,การกระทำ,hành động,ການກະທໍາ,geste/comportement,振る舞い/行動,행동/거동,поступок/действие,Handlung/Verhalten,acto/acción
引起,yǐn qǐ,arouse,ก่อให้เกิด/กระตุ้น,gây ra/kích thích,ກ່ອຍໃຫ້ເກີດ/ກະຕຸ້ນ,provoquer/éveiller,引き起こす/喚起する,일으키다/불러일으키다,вызывать/возбуждать,verursachen/auslösen,provocar/causar
苦,kǔ,bitter,ขม,đắng,ຂົມ,amer,苦い,쓰다/쌉싸름한,горький,bitter,amargo
咸,xián,salty,เค็ม,mặn,ເຄັມ,salé,塩辛い/しょっぱい,짠,солёный,salzig,salado
距离,jù lí,distance,ระยะห่าง/ระยะทาง,khoảng cách,ໄລຍະຫ່າງ,distance,距離,거리,расстояние,Entfernung/Distanz,distancia
