镇,zhèn,town,เมือง/อำเภอ,thị trấn,ເມືອງ/ເມືອງນ້ອຍ,ville/bourg,町,읍/마을,городок/посёлок,Kleinstadt/Ort,pueblo/ciudad pequeña
紧巴巴,jǐn bā bā,hard up,เงินขัดสน/ถังแตก,kẹt tiền/túng thiếu,ຂາດເງິນ/ຕຶບຕັນ,à court d’argent/fauché,お金に困って,돈이 빠듯하다/궁하다,на мели/денег впритык,knapp bei Kasse,sin dinero/apurado
用功,yòng gōng,hard-working,ขยัน/ตั้งใจเรียน,chăm chỉ,ຂະຫຍັນ/ຂັນແຂງ,travailleur/sérieux,勤勉な/よく勉強する,부지런한/성실한,прилежный/усердный,fleißig,trabajador/aplicado
稿纸,gǎo zhǐ,writing paper,กระดาษต้นฉบับ/กระดาษร่าง,giấy bản thảo/giấy nháp,ກະດາດບັນທຶກ/ຮ່າງ,papier de brouillon,原稿用紙,원고지,бумага для черновиков/манускриптовая,Manuskript-/Entwurfspapier,papel de manuscrito/borrador
未来,wèi lái,future,อนาคต,tương lai,ອະນາຄົດ,avenir,未来,미래,будущее,Zukunft,futuro
本身,běn shēn,oneself,ตนเอง/ตัวเอง,bản thân,ຕົນເອງ,soi‑même,自身/自分,자신/자기,сам/самостоятельно,selbst,uno mismo
公正,gōng zhèng,just/fair,ยุติธรรม/เที่ยงธรรม,công bằng,ຍຸດຕິທໍາ,juste/équitable,公正な/公平な,공정한/공평한,справедливый,gerecht/fair,justo/imparcial
早晚,zǎo wǎn,sooner or later,ไม่ช้าก็เร็ว,sớm muộn,ຊ້າເຊົ່າກໍດີ,tôt ou tard,遅かれ早かれ,머지않아/조만간,рано или поздно,früher oder später,tarde o temprano
赚,zhuàn,make or earn(money),หาเงิน/ทำเงิน,kiếm tiền,ຫາເງິນ,gagner de l’argent,お金を稼ぐ,돈을 벌다,зарабатывать деньги,Geld verdienen,ganar dinero
演唱会,yǎn chàng huì,concert(for singing or Chinese opera),คอนเสิร์ต/การแสดงงิ้ว,buổi hòa nhạc/diễn kinh kịch,ຄອນເສີດ/ການສະແດງງິ້ວ,concert/spectacle d’opéra chinois,コンサート/中国オペラ公演,콘서트/경극 공연,концерт/спектакль китайской оперы,Konzert/Opernvorstellung (chinesisch),concierto/espectáculo de ópera china
校庆,xiào qìng,anniversary of the founding of a school or college,วันครบรอบสถาปนาโรงเรียน,kỷ niệm thành lập trường,ວັນຄົບຮອບກໍຕັ້ງໂຮງຮຽນ,anniversaire de fondation de l’école,創立記念日（学校）,개교기념일,годовщина основания школы/вуза,Schul-/Hochschuljubiläum,aniversario de fundación de la escuela
分别,fēn bié,part/say goodbye to each other,แยกจาก/บอกลา,chia tay/tạm biệt,ລາຈາກ,se séparer/dire au revoir,別れる/別れを告げる,헤어지다/작별하다,расстаться/попрощаться,sich trennen/sich verabschieden,separarse/decir adiós
退休,tuì xiū,retire,เกษียณ,nghỉ hưu,ອອກບໍານານ,prendre sa retraite,退職する,은퇴하다,выйти на пенсию,in Rente gehen,jubilarse
笔迹,bǐ jì,handwriting,ลายมือ,chữ viết tay,ຕົວອັກສອນມື,écriture manuscrite,筆跡/手書き,필체/필적,почерк,Handschrift,letra manuscrita
涌,yǒng,well  (up),เอ่อขึ้น/พุ่งพล่าน,dâng trào,ເອ່ອຂຶ້ນ/ພຸ່ງຂຶ້ນ,(émotions) monter/affluer,湧き上がる,북받치다/솟구치다,нахлынуть/всплеснуть,hochsteigen/aufwallen,aflorar/brotar
青春,qīng chūn,youth,วัยเยาว์/วัยรุ่น,tuổi thanh xuân,ວັຍໜຸ່ມ,jeunesse,青春,청춘,юность,Jugend,juventud
梦想,mèng xiǎng,dream,ความฝัน/ใฝ่ฝัน,ước mơ,ຄວາມຝັນ,rêve,夢/夢想,꿈/희망,мечта,Traum,sueño
曾,céng,once,ครั้งหนึ่ง/เคย,từng/đã từng,ເຄີຍ,une fois/déjà,かつて/一度,한때/일찍이,когда‑то/однажды,einst/einmal,una vez/antes
思考,sī kǎo,think deeply/ponder over,ครุ่นคิด/ไตร่ตรอง,suy ngẫm,ຄິດເລິກ/ພິຈາລະນາ,réfléchir/méditer,熟考する/思い巡らす,깊이 생각하다,глубоко обдумывать,tief nachdenken,ponderar/reflexionar
存折,cún zhé,deposit book,สมุดเงินฝาก,sổ tiết kiệm,ສົມຸດເງິນຝາກ,livret d’épargne,預金通帳,예금통장,сберкнижка,Sparbuch,libreta de ahorros
字条,zì tiáo,(brief)note,กระดาษโน้ต/แผ่นจด,mảnh giấy ghi chú,ໃບຈົດ/ໃບແຈ້ງ,petit billet/note,紙切れ/メモ,쪽지,записка,Zettel/Notiz,nota/apunte
辞职,cí zhí,resign,ลาออกจากงาน,xin thôi việc,ລາອອກ,уволиться,辞職する,사직하다,увольняться,kündigen,renunciar al trabajo
创办,chuàng bàn,establish/set up,ก่อตั้ง/สร้างตั้งขึ้น,thành lập/sáng lập,ກໍ່ຕັ້ງ,fonder/créer,創設する/設立する,창립하다/설립하다,основать/учредить,gründen,fundar/crear
晕头转向,yūn tóu zhuàn xiàng,confused and disoriented,มึนงง/งงงวย,choáng váng/rối bời,ມືນຫົວ/ສັບສົນ,être étourdi/désemparé,目が回る/混乱する,어질어질/혼란스러운,растерянный/дезориентированный,desorientiert,aturdido/desorientado
速冻,sù dòng,quick-freeze,แช่แข็งด่วน,đông lạnh nhanh,ແຊ່ແຂງດ່ວນ,surgeler,急速冷凍する,급속 냉동하다,быстро замораживать,schnellgefrieren,ultracongelar
回想,huí xiǎng,recall/think of (the past),ย้อนนึก/หวนคิด,hồi tưởng,ຫວນຄິດ,se remémorer,回想する,회상하다,вспоминать,zurückerinnern,recordar
特有,tè yǒu,peculiar,เฉพาะตัว/เอกลักษณ์,đặc hữu/riêng có,ເອກະລັກ/ຈໍາເພາະ,particulier/typique,特有の/独特の,특유의/고유한,свойственный/характерный,typisch/eigen,peculiar/propio
资金,zī jīn,money/especially money provided by a bank,เงินทุน,vốn/quỹ,ທຶນ,fonds/capitaux,資金,자금,средства/капитал,Kapital/Mittel,fondos/capital
经营,jīng yíng,operate/run,ดำเนินธุรกิจ/บริหาร,kinh doanh/vận hành,ດໍາເນີນ/ບໍລິຫານ,exploiter/gérer,経営する/運営する,경영하다/운영하다,вести/управлять,betreiben/leiten,operar/gestionar
当初,dāng chū,at the beginning,ตอนแรก/แรกเริ่ม,thuở ban đầu,ໃນຕອນແລກ,au début,当初,당초/처음에,поначалу/изначально,anfangs,al principio
积蓄,jī xù,savings,เงินเก็บ/เงินออม,tiền tích lũy,ເງິນອອມ,économies,蓄え/貯蓄,저축/축적,сбережения,Ersparnisse,ahorros
投,tóu,put in,ใส่/ลงทุน,bỏ vào/đầu tư,ໃສ່/ລົງທຶນ,mettre/ investir,投入する,투입하다/투자하다,вложить,hineinstecken/investieren,poner/invertir
反而,fǎn'ér,on the contrary/instead,กลับกลาย/ตรงกันข้าม,ngược lại/trái lại,ກົງກັນຂ້າມ,au contraire,反而/逆に,오히려/반대로,напротив/вместо,im Gegenteil,al contrario
