行(业),háng (yè),trade/industry,อาชีพ/แวดวงงาน,ngành nghề/lĩnh vực,ວົງການ/ອາຊີບ,secteur/métier,業界/業種,업계/직종,отрасль/сфера,Branche/Sektor,sector/rubro
快递,kuài di,express delivery,ขนส่งด่วน/พัสดุด่วน,chuyển phát nhanh,ຂົນສົ່ງດ່ວນ,express/colis rapide,宅配便/速達便,퀵배송/택배,экспресс‑доставка,Expressversand/Kurier,mensajería/paquetería exprés
恭敬,gōng jìng,respectful,สุภาพนอบน้อม,cung kính/kính cẩn,ນັບຖື/ນ້ອມນ້ອມ,respectueux,恭（うやうや）しい,공손하고 공경스럽다,почтительный/вежливый,ehrfurchtsvoll/achtsam,respetuoso
递,dì,hand over/pass,ส่ง/ยื่นให้,đưa/trao,ຍື່ນ/ສົ່ງໃຫ້,remettre/passer,手渡す/渡す,건네다/전하다,передавать/вручать,überreichen/weitergeben,pasar/entregar
西装,xī zhuāng,Western-style clothes,สูทแบบตะวันตก,comple Tây/âu phục,ສູດຕາເວັນຕົກ,costume (occidental),スーツ,양복,костюм (западный),Anzug,traje (occidental)
皮鞋,pí xié,leather shoes,รองเท้าหนัง,giày da,ເກີບຫນັງ,chaussures en cuir,革靴,가죽 구두,кожаные туфли,Lederschuhe,zapatos de cuero
身,shēn,(of clothes)suit,ชุด/ตัว (เสื้อผ้า),bộ (quần áo),ຊຸດ (ເສື້ອຜ້າ),tenue/un ensemble,一着（服）,한 벌(옷),комплект (одежды),Garnitur/Satz (Kleidung),conjunto (de ropa)
打扮,dǎ ban,the way one is dressed,แต่งตัว/แต่งกาย,ăn mặc/chưng diện,ແຕ່ງຕົວ,s’habiller/se faire beau,身なり/装い,차림새/몸치장,наряжаться/образ,aufmachen/sich kleiden,arreglarse/vestimenta
傻小子,shǎ xiǎo zi,silly boy,ไอ้หนุ่มเซ่อๆ,thằng ngốc (con trai),ໜຸ່ມໂງ່ໆ,gamin nigaud,おバカな坊や,어리숙한 청년,простофиля (парень),tölpischer Junge,chico tontuelo
快件,kuài jiàn,express mail,พัสดุด่วน/ของด่วน,bưu kiện nhanh,ພັດສະດຸດ່ວນ,colis express,速達小包,급송 소포,экспресс‑посылка,Expresspaket,paquete exprés
单子,dān zi,form,แบบฟอร์ม/ใบรายการ,tờ đơn/phiếu,ໃບຟອມ/ໃບລາຍການ,formulaire/bon,伝票/用紙,전표/용지,бланк/квитанция,Formular/Beleg,formulario/hoja
找(钱),zhǎo (qián),give(change),ทอน(เงิน),trả lại tiền thừa,ທອນເງິນ,rendre la monnaie,お釣りを渡す,거스름돈을 주다,давать сдачу,Wechselgeld geben,dar el cambio
完成,wán chéng,fulfil1,ทำให้เสร็จ/สำเร็จ,hoàn thành,ສຳເລັດ/ທຳໃຫ້ເສັດ,accomplir/terminer,完成する,완성하다,выполнить/завершить,abschließen/erledigen,completar/terminar
仪式,yí shì,ceremony,พิธี/พิธีการ,nghi thức/lễ nghi,ພິທີກຳ,cérémonie/rituel,儀式,의식,церемония/обряд,Zeremonie/Ritual,ceremonia/ritual
确认,què rèn,confirm,ยืนยัน,xác nhận,ຢືນຢັນ,confirmer,確認する,확인하다,подтвердить,bestätigen,confirmar
