城市,chéngshì,city,เมือง,thành phố,ນະຄອນ,ville,都市,도시,город,stadt,ciudad
公园,gōngyuán,park,สวนสาธารณะ,công viên,ສວນສາທາລະນະ,parc,公園,공원,парк,park,parque
那里,nàlǐ,that place/there,ที่นั่น,ở đó,ທີ່ນັ້ນ,là‑bas,そこ,거기,там,dort,allí
山,shān,hill/mountain,ภูเขา,núi,ພູເຂົາ,montagne,山,산,гора,berg,montaña
水,shuǐ,water/general term for rivers/lakes/seas/etc,แหล่งน้ำ/น้ำ,nguồn nước/nước,ນ້ຳ/ແຫຼ່ງນ້ຳ,eau,水,물,вода,wasser,agua
树,shù,tree,ต้นไม้,cây,ຕົ້ນໄມ້,arbre,木/木の木,나무,дерево,baum,árbol
花,huā,flower/blossom/bloom,ดอกไม้,hoa,ດອກໄມ້,fleur,花,꽃,цветок,blume,flor
风景,fēngjǐng,scenery/landscape,ทิวทัศน์,phong cảnh,ທິວທັດ,paysage,景色,풍경,пейзаж,landschaft,paisaje
非常,fēicháng,very much,มากๆ,rất/rất là,ຫຼາຍໆ,beaucoup,とても/すごく,아주/매우,очень,sehr,muy
漂亮,piàoliang,beautiful,สวย/งดงาม,đẹp,ງາມ,beau/belle,きれい/美しい,아름답다,красивый,schön,bonito
空气,kōngqì,air/atmosphere,อากาศ/บรรยากาศ,không khí,ອາກາດ/ບັນຍາກາດ,air/atmosphère,空気/雰囲気,공기/분위기,воздух/атмосфера,luft/atmosphäre,aire/atmósfera
新鲜,xīnxiān,fresh,สดชื่น/สดใหม่,tươi/mát mẻ,ສົດຊື່ນ,frais/fraîche,新鮮な,신선한,свежий,frisch,fresco
多,duō,many/much,เยอะมาก/มากมาย,nhiều,ຫຼາຍ,beaucoup,たくさん,많이/많다,много,viel,mucho
爬山,pá shān,climb a mountain,ปีนเขา,leo núi,ປີນພູ,faire de la randonnée/gravir une montagne,山に登る,산에 오르다,подниматься на гору,auf den berg steigen,subir la montaña
爬,pá,climb,ปีน/ไต่,leo,ປີນ,grimper,よじ登る/登る,기어오르다/오르다,взбираться,klettern,escalar
呼吸,hūxī,breathe,หายใจ,thở,ຫາຍໃຈ,respirer,呼吸する,숨 쉬다,дышать,atmen,respirar
忙,máng,busy,ยุ่ง,bận,ວຸ່ນວາຍ/ຕິດທຸລະກິດ,occupé(e),忙しい,바쁘다,занят(ой),beschäftigt,ocupado
听说,tīngshuō,hear of/be told,ได้ยินมาว่า/เขาบอกว่า,nghe nói,ໄດ້ຍິນວ່າ/ມີຄົນເວົ້າວ່າ,entendre dire/on m’a dit,〜と聞いた,들었다/그렇다고 하더라,слышал(а)/говорят/что,gehört haben/man sagt/dass,oí decir/me dijeron que
出发,chūfā,set out/set off/start off,ออกเดินทาง,lên đường/khởi hành,ອອກເດີນທາງ,partir/se mettre en route,出発する,출발하다,отправляться/выдвигаться,aufbrechen,partir/ponerse en camino
找,zhǎo,look for/try to find/want to see,หา/อยากเจอ,tìm/ muốn gặp,ຊອກຫາ/ຢາກເຫັນ,chercher/vouloir voir,探す/会いたい,찾다/보고 싶다,искать/хотеть увидеть,suchen/sehen wollen,buscar/querer ver
