租,zū,rent/hire/lease,เช่า,thuê,ເຊົ່າ,louer,借りる/賃貸する,임차하다/빌리다,снимать/арендовать,mieten,alquilar
套,tào,(used for books/rooms/furniture/etc) set/suit/suite,ชุด/เซ็ต（ลักษณนาม）,bộ (lượng từ),ຊຸດ (ລັກສະນະນາມ),ensemble (classif.),セット（助数詞）,세트/벌 (양사),набор/комплект (сч. сл.),satz/セット (klass.),juego/conjunto (clas.)
房子,fángzi,house/building,บ้าน/ตัวบ้าน,nhà,ບ້ານ/ເຮືອນ,maison/logement,家/家屋,집/주택,дом/жильё,haus/wohnung,casa/vivienda
上,shàng,preceding/previous,ที่แล้ว/ก่อน,trước,ກ່ອນ/ທີ່ແລ້ວ,précédent(e),前の,지난/이전의,прошлый/предыдущий,vorherig/letzte(r),anterior/pasado
了,le,used at the end of a sentence to indicate sth has happened or occurred,แล้ว（แสดงว่าเกิดขึ้นแล้ว/มีการเปลี่ยนแปลง）,rồi (đã xảy ra/đã đổi),ແລ້ວ (ເຫດການເກີດ/ປ່ຽນແປງ),particule d’accompli/changement “le”,〜た/〜になった（変化）,완료/변화 표시 ‘了’,частица завершённости/изменения «了»,abgeschlossen/Änderung („le“),indica hecho/cambio “le”
那,nà,that,นั่น/นั้น,đó/kia,ນັ້ນ,ce/cet/cette (là),あの/その,그/저,тот/та/то,jene/r/s; der/die/das da,ese/esa/aquel/aquella
旁边,pángbiān,side/beside,ข้างๆ/ริมๆ,bên cạnh,ຂ້າງໆ,à côté,となり/そば,옆/곁,рядом,neben,al lado
方便,fāngbiàn,convenient,สะดวก,tiện/tiện lợi,ສະດວກ,pratique,便利だ,편리하다,удобно,praktisch,práctico
大,dà,big/large,ใหญ่,to/lớn,ໃຫຍ່,grand(e),大きい,크다,большой,groß,grande
房租,fángzū,rent/charge for renting a house/room or an apartment/etc,ค่าเช่าบ้าน,tiền thuê nhà,ຄ່າເຊົ່າບ້ານ,loyer (de logement),家賃,집세/월세,квартирная плата/аренда,miete (wohnung),alquiler (de vivienda)
贵,guì,expensive,แพง,đắt,ແພງ,cher/ chère,高い（値段）,비싸다,дорогой (по цене),teuer,caro
每,měi,every/each,ทุกๆ/แต่ละ,mỗi/mọi,ແຕ່ລະ/ທຸກ,chaque,毎/それぞれ,매/마다,каждый,je/alle,cada
最后,zuìhòu,final/last,สุดท้าย/ท้ายที่สุด,cuối cùng,ສຸດທ້າຍ,final/en dernier,最後/ついに,마지막/결국,в конце/наконец,zuletzt/am ende,al final/por fin
又,yòu,again,อีก/อีกครั้ง,lại/nữa,ອີກ/ອີກຄັ້ງ,de nouveau/encore,また/さらに,또/게다가,снова/ещё и,wieder/außerdem,de nuevo/también
满意,mǎnyì,be satisfied/be pleased,พอใจ,hài lòng,ພໍໃຈ,satisfait(e)/content(e),満足だ,만족하다,доволен,zufrieden,satisfecho
搬家,bān jiā,move (house),ย้ายบ้าน,chuyển nhà,ຍ້າຍບ້ານ,déménager,引っ越す,이사하다,переезжать,umziehen,mudarse
已经,yǐjīng,already,เรียบร้อยแล้ว/แล้ว,đã/rồi,ແລ້ວ,déjà,もう/すでに,이미/벌써,уже,schon/bereits,ya
不错,búcuò,not bad/pretty good,ไม่เลว/ใช้ได้ดี,khá ổn/không tệ,ບໍ່ເລວ/ດີໃຊ້ໄດ້,pas mal/plutôt bien,悪くない/いいね,괜찮다/나쁘지 않다,неплохо/хорошо,nicht schlecht/ziemlich gut,nada mal/bastante bien
离,lí,from/away from,ห่างจาก/อยู่ห่าง,cách/ xa,ຫ່າງຈາກ,à (distance de)/loin de,〜から離れて,에서 떨어져,на расстоянии от/далеко от,entfernt von,lejos de
远,yuǎn,far/faraway,ไกล,xa,ໄກ,loin/éloigné,遠い,멀다,далёкий/далеко,weit/fern,lejos
走,zǒu,walk/go,เดิน/ไป,đi bộ/đi,ເດີນ/ໄປ,marcher/partir,歩く/行く,걷다/가다,идти/уходить,gehen/weggehen,caminar/irse
路,lù,road/way,ถนน/ทาง,đường,ຖະໜົນ/ທາງ,route/chemin,道/道路,길,дорога/путь,straße/weg,camino/calle
