结婚,jié hūn,marry / get married,แต่งงาน,kết hôn/cưới,ແຕ່ງງານ,se marier,結婚する,결혼하다,жениться/выйти замуж,heiraten,casarse
送,sòng,give / offer,ให้/มอบให้,tặng/đưa,ໃຫ້/ສົ່ງ,offrir/donner,あげる/贈る,선물하다/보내다,дарить/отправить,schenken/geben,regalar/dar
份,fèn,set / copy,ชุด/ฉบับ（ลักษณนาม）,bộ/bản (lượng từ),ຊຸດ/ສໍານາ (ລັກສະນະນາມ),ensemble/exemplaire (classif.),セット/部,세트/부 (양사),комплект/экземпляр (сч.),satz/exemplar (klass.),juego/ejemplar (clas.)
少,shǎo,few / little,น้อย,ít,ນ້ອຍ,peu,少ない,적다,мало,wenig,poco
应该,yīnggāi,should / ought to,ควร/น่าจะ,nên,ຄວນ,il faut/on devrait,〜すべき/したほうがいい,해야 한다/하는 게 좋다,следует/нужно,sollte/man sollte,deber/deberías
希望,xīwàng,hope / wish,หวังว่า/อยากให้,hy vọng,ຫວັງ/ຢາກໃຫ້,espérer/souhaiter,〜だといいな/望む,희망하다/바라다,надеяться/желать,hoffen/wünschen,esperar/desear
参加,cānjiā,take part in / attend,เข้าร่วม/ไปงาน,tham gia/dự,ເຂົ້າຮ່ວມ/ໄປຮ່ວມ,participer/assister,参加する/出席する,참가하다/참석하다,участвовать/присутствовать,teilnehmen/besuchen,participar/asistir
婚礼,hūnlǐ,wedding ceremony / wedding,งานแต่ง,đám cưới,ພິທີແຕ່ງງານ,mariage/cérémonie,結婚式,결혼식,свадьба/церемония,hochzeit/trauung,boda/ceremonia
重要,zhòngyào,important,สำคัญ,quan trọng,ສຳຄັນ,important,大事/重要,중요하다,важный,wichtig,importante
事情,shìqing,thing / affair / matter,เรื่อง/เรื่องงาน,chuyện/việc,ເລື່ອງ/ວຽກ,affaire/chose,こと/用事,일/일거리,дело/вещь,sache/ding,asunto/cosa
特殊,tèshū,special / particular,พิเศษ/เฉพาะ,đặc biệt,ພິເສດ,spécial/particulier,特別な,특별한,особенный/специальный,besonders/besondere,especial/particular
化妆品,huàzhuāngpǐn,cosmetics,เครื่องสำอาง,mỹ phẩm,ຄອງແຕ່ງໜ້າ,cosmétiques,化粧品,화장품,косметика,kosmetik,cosméticos
日用品,rìyòngpǐn,daily-use necessities,ของใช้ประจำวัน,đồ dùng hàng ngày,ຂອງໃຊ້ປະຈໍາວັນ,produits du quotidien,日用品,생필품/일용품,товары повседневного спроса,alltagsbedarf,artículos de uso diario
家电,jiādiàn,household electrical appliances,เครื่องใช้ไฟฟ้าในบ้าน,đồ điện gia dụng,ເຄື່ອງໃຊ້ໄຟຟ້າໃນບ້ານ,électroménager,家電,가전제품,бытовая техника,haushaltsgeräte,electrodomésticos
冰箱,bīngxiāng,refrigerator,ตู้เย็น,tủ lạnh,ຕູ້ເຢັນ,réfrigérateur/frigo,冷蔵庫,냉장고,холодильник,kühlschrank,refrigerador/nevera
洗衣机,xǐyījī,washing machine,เครื่องซักผ้า,máy giặt,ເຄື່ອງຊັກຜ້າ,machine à laver,洗濯機,세탁기,стиральная машина,waschmaschine,lavadora
巧克力,qiǎokèlì,chocolate,ช็อกโกแลต,sô cô la,ຊັອກໂກ້ແລັດ,chocolat,チョコレート,초콜릿,шоколад,schokolade,chocolate
