暖气,nuǎnqì,heater / central heating,เครื่องทำความร้อน/ฮีตเตอร์,máy sưởi/sưởi trung tâm,ຮ້ອນອຸ່ນ/ຮະບົບຮ້ອນກາງ,chauffage/radiateur,暖房/ヒーター,난방/히터,отопление/обогреватель,Heizung,calefacción
坏,huài,go bad / break down,เสีย/พัง,hỏng/hư,ເສຍ/ພັງ,se casser/en panne,壊れる/ダメになる,고장 나다/망가지다,сломаться/испортиться,kaputt gehen/defekt,averiarse/estropearse
棉衣,miányī,cotton-padded clothes,เสื้อกันหนาวบุผ้าฝ้าย,áo bông/áo chần bông,ເສື້ອກັນໜາວບຸຝ້າຍ,manteau ouaté/veste matelassée,綿入れ/中綿ジャケット,솜옷/누빔 점퍼,ватник/стёганая куртка,Steppjacke/gefütterte Jacke,chaqueta acolchada
戴,dài,put on / wear,ใส่/สวม (หมวก/ถุงมือ/แว่น),đeo/đội (mũ/găng/kính),ໃສ່/ສວມ (ໝວກ/ຖົງມື/ແວ່ນ),mettre/porter (chapeau/gants/lunettes),身につける/着用する（帽子/手袋/眼鏡）,착용하다/끼다/쓰다,носить/надевать (шапку/перчатки/очки),tragen/aufsetzen/anziehen,ponerse/llevar (sombrero/guantes/gafas)
手套,shǒutào,gloves,ถุงมือ,găng tay,ຖົງມື,gants,手袋,장갑,перчатки,Handschuhe,guantes
帽子,màozi,hat / cap,หมวก,mũ/nón,ໝວກ,chapeau/casquette,帽子,모자,шапка/кепка,Hut/Mütze,sombrero/gorra
后来,hòulái,later / afterwards,ต่อมา/ภายหลัง,sau đó/về sau,ຕໍ່ມາ/ພາຍຫຼັງ,plus tard/après,そのあと/あとになって,그 후에/나중에,позже/впоследствии,später/nachher,después/luego
只好,zhǐhǎo,have to / have no choice but,ก็เลยต้อง/จำใจ,đành/đành phải,ຈຳໃຈ/ຈຶ່ງຈະຕ້ອງ,ne… que/il ne reste qu’à,しかたなく/やむなく,어쩔 수 없이/할 수 없이,пришлось/остаётся только,musste/nur noch bleibt,no queda más que/tener que
打开,dǎkāi,switch on / turn on,เปิด/เปิดใช้งาน,mở/bật,ເປີດ,ouvrir/allumer,開ける/電源を入れる,열다/켜다,открыть/включить,öffnen/einschalten,abrir/encender
空调,kōngtiáo,air conditioner,แอร์/เครื่องปรับอากาศ,máy lạnh/điều hoà,ແອຣ໌/ເຄື່ອງປັບອາກາດ,clim/climatiseur,エアコン,에어컨,кондиционер,Klimaanlage,aire acondicionado
作业,zuòyè,homework,การบ้าน/งานที่ต้องทำ,bài tập về nhà,ວຽກບ້ານ,devoirs/TP,宿題,숙제,домашнее задание,Hausaufgaben,deberes/tarea
