西北部,xīběi bù,northwest,ทางตะวันตกเฉียงเหนือ,tây bắc,ທາງຕາເວັນຕົກສຽງເໜືອ,nord‑ouest,北西部/北西の地域,북서부,северо‑запад,Nordwest,noroeste
市区,shìqū,urban district / downtown area,ตัวเมือง/เขตเมือง,khu trung tâm/thành nội,ເມືອງ/ເຂດເມືອງ,centre‑ville,市街地/都心,도심/시내,городской район/центр,Innenstadt/Stadtgebiet,zona urbana/centro
大概,dàgài,approximately / probably,ประมาณ/น่าจะ,đại khái/chắc khoảng,ປະມານ/ຄາດວ່າ,en gros/environ/probablement,だいたい/おそらく,대략/아마,примерно/наверное,ungefähr/vielleicht,aproximadamente/probablemente
公里,gōnglǐ,kilometre,กิโลเมตร,kilômét,ກິໂລແມັດ,kilomètre,キロメートル,킬로미터,километр,Kilometer,kilómetro
火车,huǒchē,train,รถไฟ,tàu hoả,ລົດໄຟ,train,列車/電車,기차,поезд,Zug,tren
公共汽车,gōnggòng qìchē,bus,รถเมล์/รถบัส,xe buýt,ລົດເມ/ລົດບັດ,bus,バス,버스,автобус,Bus,autobús
多,duō,more / over,มาก/เกินกว่า,nhiều/hơn…,ຫຼາຍ/ເກີນ…,plus de/plus,多い/〜以上,많다/더…,больше/много,mehr/über …,más/de más de
车票,chēpiào,bus ticket / train ticket,ตั๋วรถ/ตั๋วเดินทาง,vé xe/vé tàu,ປີ້ລົດ/ປີ້ເດີນທາງ,billet (de train/bus),乗車券/切符,차표/승차권,проездной билет,Fahrkarte/Ticket,billete/boleto (transporte)
票,piào,ticket,ตั๋ว,vé,ປີ້,billet/ticket,チケット/切符,표/티켓,билет,Ticket/Karte,entrada/boleto
到达,dàodá,arrive / get to / reach,ถึง/ไปถึง,đến/nơi,ເຖິງ/ໄປເຖິງ,arriver/atteindre,到着する,도착하다,прибыть/достигнуть,ankommen/erreichen,llegar
多大,duō dà,how old,อายุเท่าไหร่,bao nhiêu tuổi,ອາຍຸເທົ່າໃດ,quel âge,何歳,몇 살,сколько лет,wie alt,qué edad
