教学楼,jiào xué lóu,classroom building,อาคารเรียน/ตึกเรียน,tòa nhà giảng dạy,ອາຄານຮຽນ,bâtiment d’enseignement,校舎/教室棟,강의동/교사,учебный корпус,Lehrgebäude,edificio de aulas
教学,jiào xué,teach/educate,สอน/การสอน,dạy/giảng dạy,ສອນ/ການສອນ,enseigner/enseignement,教える/授業,가르치다/교육,преподавать/обучение,unterrichten/Unterricht,enseñar/enseñanza
楼,lóu,storeyed building,อาคาร/ตึก (หลายชั้น),tòa nhà (nhiều tầng),ຕຶກ/ອາຄານ (ຫຼາຍຊັ້ນ),immeuble/bâtiment,建物/ビル,건물/빌딩,здание,Gebäude,edificio
在,zài,indicating where a person or thing is,อยู่/ที่ (แสดงสถานที่),ở/tại (địa điểm),ຢູ່/ທີ່ (ສະຖານທີ່),se trouver/à,〜にある/いる,…에 있다,находиться/в,sich befinden/in/bei,estar/en
这儿,zhèr,here,นี่/ตรงนี้,đây,ທີ່ນີ້,ici,ここ,여기,здесь,hier,aquí
图书馆,tú shū guǎn,library,ห้องสมุด,thư viện,ຫໍ້ສະຫມຸດ,bibliothèque,図書館,도서관,библиотека,Bibliothek,biblioteca
……边,biān,side,ด้าน…/ข้าง…,bên …/phía …,ດ້ານ …/ຂ້າງ …,côté …,…側,…쪽/…편,… сторона,…‑seite,lado …
北边,běi bian,north,ด้านเหนือ/ทางเหนือ,phía bắc,ທາງເໜືອ,côté nord/au nord,北側/北のほう,북쪽,северная сторона/на севере,Nordseite/im Norden,lado norte/al norte
西边,xī bian,west,ด้านตะวันตก/ทางตะวันตก,phía tây,ທາງຕາເວັນຕົກ,côté ouest/à l’ouest,西側/西のほう,서쪽,западная сторона/на западе,Westseite/im Westen,lado oeste/al oeste
南边,nán bian,south,ด้านใต้/ทางใต้,phía nam,ທາງໃຕ້,côté sud/au sud,南側/南のほう,남쪽,южная сторона/на юге,Südseite/im Süden,lado sur/al sur
运动场,yùn dòng chǎng,sports ground/sports venue,สนามกีฬา,sân thể thao,ສະໜາມກິລາ,terrain de sport,運動場,운동장,спортплощадка/стадион,Sportplatz,cancha/campo deportivo
体育馆,tǐ yú guǎn,gymnasium/gym,โรงยิม/ยิมเนเซียม,nhà thi đấu/thể dục,ຍິມ/ສະຖານກິລາໃນຮົ່ມ,gymnase,体育館,체육관,спортзал/спорткомплекс,Sporthalle,gimnasio/pabellón
饭馆,fàn guǎn,restaurant,ร้านอาหาร/ภัตตาคาร,nhà hàng/quán ăn,ຮ້ານອາຫານ,restau/resto/restaurant,レストラン/食堂,식당/레스토랑,ресторан/кафе,Restaurant,restaurante
还,hái,also/too/as well/in addition,ยัง/ก็ด้วย/อีกด้วย,còn/cũng/thêm,ຍັງ/ກໍ່/ອີກດ້ວຍ,encore/aussi/en plus,まだ/それに/〜も,아직/또/역시,ещё/также/к тому же,noch/auch/außerdem,aún/también/además
超市,chāo shì,supermarket,ซูเปอร์มาร์เก็ต/ซูเปอร์,siêu thị,ຊູເປີມາເກັດ,supermarché,スーパー,슈퍼마켓,супермаркет,Supermarkt,supermercado
去,qù,go/leave/depart,ไป/ออกเดินทาง,đi/rời đi,ໄປ/ອອກເດີນທາງ,aller/partir,行く/出かける,가다/떠나다,идти/уезжать,gehen/fahren/weggehen,ir/salir
哪儿,nǎr,where,ที่ไหน,ở đâu,ຢູ່ໃສ,où,どこ,어디,где,wo,dónde
银行,yín háng,bank/banking house,ธนาคาร,ngân hàng,ທະນາຄານ,banque,銀行,은행,банк,bank,banco
知道,zhī dào,know,รู้,biết,ຮູ້,savoir,知っている,알다,знать,wissen,saber
东边,dōng bian,east,ด้านตะวันออก,phía đông,ທາງຕາເວັນອອກ,côté est,東側,동쪽,восточная сторона,ostseite,lado este
跟,gēn,with,กับ,với,ກັບ,avec,〜と,와/과,с,mit,con
吧,ba,used at the end of a sentence to indicate a mild suggestion,เถอะ,nhé,ເນາະ,marque une suggestion légère,軽い提案を表す,가벼운 제안을 나타냄,смягчённое предложение,drückt einen leichten vorschlag aus,indica una sugerencia suave
太,tài,too/much too,เกินไป,quá,ເກີນໄປ,trop,〜すぎる,너무,слишком,zu,demasiado
卫生间,wèi shēng jiān,toilet/washroom,ห้องน้ำ,nhà vệ sinh,ຫ້ອງນ້ຳ,toilettes,トイレ,화장실,туалет,toilette,baño
对不起,duì bu qǐ,I'm sorry/sorry/excuse me,ขอโทษ,xin lỗi,ຂໍໂທດ,désolé,ごめんなさい,미안합니다,извините,entschuldigung,lo siento
没关系,méi guān xi,it doesn't matter/never mind/that's all right,ไม่เป็นไร,không sao,ບໍ່ເປັນຫຍັງ,ce n’est pas grave,大丈夫です,괜찮아요,ничего страшного,macht nichts,no pasa nada
商店,shāng diàn,shop/store,ร้านค้า,cửa hàng,ຮ້ານຄ້າ,magasin,店,가게,магазин,geschäft,tienda
里边,lǐ bian,inside/interior,ข้างใน,bên trong,ຂ້າງໃນ,à l’intérieur,内側,안쪽,внутри,innen,dentro
地方,dì fang,place/location,สถานที่,địa điểm,ສະຖານທີ່,lieu,場所,장소,место,ort,lugar
前边,qián bian,in front/ahead/before,ด้านหน้า,phía trước,ດ້ານໜ້າ,devant,前側,앞쪽,впереди,vorn,delante
看,kàn,see/look/watch,ดู,xem,ເບິ່ງ,regarder,見る,보다,смотреть,sehen,ver
那儿,nàr,there,ที่นั่น,ở đó,ທີ່ນັ້ນ,là-bas,そこ,거기,там,dort,allí
就,jiù,exactly/precisely,ทันที,ngay,ທັນທີ,tout de suite,すぐ,바로,сразу,sofort,enseguida
上边,shàng bian,above/over/on the surface of,ข้างบน,bên trên,ຂ້າງເທິງ,au-dessus,上側,위쪽,сверху,oben,arriba
后边,hòu bian,behind,ด้านหลัง,phía sau,ດ້ານຫຼັງ,derrière,後ろ側,뒤쪽,сзади,hinten,detrás
旁边,páng biān,beside,ข้างๆ,bên cạnh,ຂ້າງໆ,à côté,となり,옆에,рядом,neben,al lado
书店,shū diàn,bookstore,ร้านหนังสือ,nhà sách,ຮ້ານຂາຍປຶ້ມ,librairie,書店,서점,книжный магазин,buchhandlung,librería
邮局,yóu jú,post office,ไปรษณีย์,bưu điện,ໄປສະນີ,bureau de poste,郵便局,우체국,почта,post,oficina de correos
桌子,zhuō zi,table/desk,โต๊ะ/โต๊ะทำงาน,bàn/bàn học,ໂຕະ,table/bureau,机/机(つくえ),책상/테이블,стол,tisch/schreibtisch,mesa/escritorio
书包,shū bāo,schoolbag/satchel,กระเป๋านักเรียน,cặp sách/ba lô,ກະເປົານັກຮຽນ,cartable/sac d’école,ランドセル/通学かばん,책가방/백팩,школьный ранец/портфель,schulranzen/rucksack,mochila escolar/cartera
宿舍,sù shè,dormitory,หอพัก/ห้องพักนักศึกษา,ký túc xá,ຫໍພັກນັກສຶກສາ,dortoir,寮,기숙사,общежитие,wohnheim,residencia de estudiantes
今天,jīn tiān,this day/today,วันนี้,hôm nay,ມື້ນີ້,aujourd’hui,きょう,오늘,сегодня,heute,hoy
月,yuè,month,เดือน,tháng,ເດືອນ,mois,月,달/월,месяц,monat,mes
日,rì,day,วัน/วันที่,ngày,ວັນ,jour,日,날/일,день,tag,día
星期,xīng qī,week,สัปดาห์,tuần,ອາທິດ,semaine,週,주,неделя,woche,semana
星期一,xīng qī yī,Monday,วันจันทร์,thứ hai,ວັນຈັນ,lundi,月曜日,월요일,понедельник,montag,lunes
星期二,xīng qī èr,Tuesday,วันอังคาร,thứ ba,ວັນອັງຄານ,mardi,火曜日,화요일,вторник,dienstag,martes
