书本,shūběn,book,หนังสือ,sách,ປື້ມ,livre,本/書籍,책,книга,Buch,libro
蚂蚁,mǎyǐ,ant,มด,kiến,ມົດ,fourmi,アリ,개미,муравей,Ameise,hormiga
开,kāi,open out,เปิด/แงะ/แยก,mở/khai/ bật,ເປີດ/ແຍກ,ouvrir/allumer,開ける/開く,열다/켜다,открыть/включить,öffnen/einschalten,abrir/encender
摘,zhāi,pick,เด็ด/เก็บ (ผล/ดอก),hái/ngắt,ເດັດ/ເກັບ,cueillir/ramasser,摘む/取る,따다/땄다,срывать/снять,pflücken,coger/recoger
朵,duǒ,used of flowers,ดอก (ลักษณนาม),bông (lượng từ),ດອກ (ລັກສະນນາມ),(classif.) fleur,（量）〜輪,(양사) 송이,(сч.) цветок/соцветие,(Zählwort) Blüte,(clas.) flor
夹,jiā,place or stay in between,หนีบ/คั่น/สอด,kẹp/chen/nhét,ຫນີບ/ສອດ/ຄັ່ນ,coincer/intercaler,挟む/はさむ,끼우다/끼다,зажать/вклинить,klemmen/einlegen,prensar/intercalar
醒来,xǐng lái,wake up / waken / awaken,ตื่นขึ้นมา,tỉnh dậy,ຕື່ນຂຶ້ນ,se réveiller,目が覚める,깨어나다,проснуться,aufwachen,despertarse
变成,biànchéng,become,กลายเป็น,trở thành,ກາຍເປັນ,devenir,〜になる,~이/가 되다,стать/превратиться,werden/zu … werden,convertirse en
从此,cóngcǐ,from then on,จากนั้นเป็นต้นมา,từ đó về sau,ນັບແຕ່ນັ້ນ,dès lors/à partir de là,それ以来/その時から,그때부터/이후로,с тех пор,seitdem/von da an,desde entonces
页,yè,page,หน้า (กระดาษ),trang,ໜ້າ (ຫນັງສື),page,ページ,쪽,страница,Seite,página
自由自在,zìyóu zìzài,free and unrestrained / leisurely and carefree,อิสระสบายๆ,tự do thoải mái,ອິດສະຫຼະ/ສະບາຍໆ,libre et détendu,のびのび/自由気まま,자유자재로/마음대로,свободно/непринуждённо,frei und unbeschwert,libre y a gusto
羡慕,xiànmù,admire / be envious of,อิจฉา/ชื่นชม,ngưỡng mộ/ghen tị,ອິດສາ/ຊົມ,envier/admirer,うらやましい/憧れる,부럽다/동경하다,завидовать/восхищаться,beneiden/bewundern,envidiar/admira
也许,yěxǔ,perhaps / probably / maybe,อาจจะ/บางที,có lẽ/có thể,ອາດຈະ/ບາງທີ,peut‑être,もしかして/たぶん,어쩌면/아마,возможно/может быть,vielleicht,quizá/tal vez
一下子,yíxiàzi,in a short while / all at once,ทันทีแว้บเดียว,thoắt cái/ngay tức thì,ໃນພົບຕາ/ທັນໃດ,d’un coup/tout à coup,一気に/急に,갑자기/단번에,вдруг/разом,auf einmal/mit einem Schlag,de golpe/de pronto
安静,ānjìng,quiet,เงียบ/สงบ,yên tĩnh,ງຽບ,calme/tranquille,静かだ/静かな,조용하다,тихий/спокойный,ruhig/still,tranquilo
有趣,yǒuqù,interesting,น่าสนุก/น่าสนใจ,thú vị,ນ່າສົນໃຈ,intéressant,面白い,재미있다,интересный,interessant,interesante
点,diǎn,dot / spot,จุด/แต้ม/นิดหน่อย,chấm/điểm/chút ít,ຈຸດ/ໜ່ວຍ/ນ້ອຍໆ,point/peu,点/ちょっと,점/조금,точка/немного,Punkt/etwas,punto/un poco
仔细,zǐxì,careful / attentive,ละเอียดรอบคอบ,tỉ mỉ/cẩn thận,ລະອຽດ/ລະມັດລະວັງ,minutieux/attentif,細かい/注意深い,세심하다/자세히,тщательно/внимательно,sorgfältig/genau,detallado/cuidadoso
终于,zhōngyú,at last / in the end / finally,ในที่สุด,cuối cùng/rốt cuộc,ໃນທ້າຍສຸດ,enfin/finalement,ついに/ようやく,마침내/드디어,наконец‑то,endlich,por fin/finalmente
迷路,mí lù,lose one's way / get lost,หลงทาง,lạc đường,ຫຼົງທາງ,se perdre,道に迷う,길을 잃다,заблудиться,sich verlaufen,perderse
送,sòng,send / take,ส่ง/มอบ/ไปส่ง,gửi/đưa/tiễn,ສົ່ງ/ພາໄປສົ່ງ,envoyer/accompagner,送る/見送る,보내다/배웅하다,послать/провожать,schicken/begleiten,enviar/acompañar
