拨,bō,set (a clock/watch),ตั้ง/หมุน (นาฬิกา),vặn/chỉnh (đồng hồ),ປັບ/ໝຸນ (ນາລິກາ),régler/ajuster (une montre),（時計を）合わせる/回す,시계를 맞추다/돌리다,поставить/подкрутить (часы),die Uhr stellen,poner/ajustar (un reloj)
当,dāng,act as/work as,ทำหน้าที่เป็น/เป็น,làm/đảm nhiệm (làm),ເຮັດໜ້າທີ່/ເປັນ,faire/occuper le poste de,務める/〜として働く,~로 일하다/~이 되다,быть/исполнять обязанности,als … sein/tätig sein,actuar como/ser
经理,jīng lǐ,manager,ผู้จัดการ,quản lý/giám đốc,ຜູ້ຈັດການ,directeur/manager,マネージャー/経理,매니저/경리,менеджер/директор,Manager/Leiter,gerente/director
秘书,mì shū,secretary,เลขา/เลขานุการ,thư ký,ເລຂາ,secrétaire,秘書,비서,секретарь,Sekretär/in,secretario/a
优点,yōu diǎn,merit/strong point,ข้อดี/จุดเด่น,ưu điểm/điểm mạnh,ຂໍ້ດີ,qualité/point fort,長所/強み,장점,достоинство/сильная сторона,Stärke/Vorzug,ventaja/punto fuerte
守时,shǒu shí,be on time/be punctual,ตรงเวลา/รักษาเวลา,đúng giờ,ຕົງເວລາ,ponctuel/tenir l’heure,時間を守る/時間厳守,시간을 잘 지키다,пунктуальный,pünktlich,puntual
爱惜,ài xī,use sparingly/treasure,ถนอม/ทะนุถนอม/ใช้ประหยัด,quý/giữ gìn/tiết kiệm dùng,ຖະນຸຖະນອມ/ປະຫຍັດໃຊ້,épargner/prendre soin de,大切にする/惜しむ,아끼다/소중히 하다,беречь/ценить,schonen/wertschätzen,cuidar/valorar
浪费,làng fèi,waste/squander,สิ้นเปลือง/ฟุ่มเฟือย,lãng phí,ເສຍເປົ່າ/ຟຸ່ມເຟືອຍ,gaspiller,無駄にする/浪費,낭비하다,тратить впустую/расточать,verschwenden,malgastar
取得,qǔ dé,get/achieve,ได้มา/คว้า/บรรลุ,giành được/đạt được,ໄດ້ມາ/ບັນລຸ,obtenir/attendre,取得する/得る,획득하다/거두다,получить/добиться,erlangen/erzielen,obtener/lograr
成功,chéng gōng,success,ความสำเร็จ/สำเร็จ,thành công,ຄວາມສຳເລັດ/ສຳເລັດ,succès/réussir,成功/うまくいく,성공/성공하다,успех/преуспеть,Erfolg/gelingen,éxito/tener éxito
酒店,jiǔ diàn,hotel,โรงแรม,khách sạn,ໂຮງແຮມ,hôtel,ホテル,호텔,гостиница/отель,Hotel,hotel
准时,zhǔn shí,punctual/on time/on schedule,ตรงเวลา,đúng giờ/đúng hẹn,ຕົງເວລາ,à l’heure/ponctuel,時間通り/定刻に,정시에/시간 맞춰,вовремя/пунктуально,pünktlich,puntual/a tiempo
计算,jì suàn,estimate/calculate,คำนวณ/คิดเลข,tính toán,ຄຳນວນ,calculer,計算する,계산하다,вычислять/рассчитывать,berechnen,calcular
需要,xū yào,need/want/require/demand/take,ต้องการ/จำเป็นต้อง,cần/cần thiết,ຕ້ອງການ/ຈຳເປັນ,avoir besoin de,必要だ/要る,필요하다/필요로 하다,нужно/требоваться,brauchen/benötigen,necesitar
提前,tí qián,do (sth) in advance/ahead of time,ทำล่วงหน้า/เลื่อนให้เร็วขึ้น,làm trước/đi sớm hơn,ເຮັດລ່ວງໜ້າ,en avance/anticiper,前倒しする/早める,앞당기다/미리,заранее/перенести на раньше,vorziehen/vorab,anticipar/con antelación
当时,dāng shí,at that time/then,ตอนนั้น/ในขณะนั้น,lúc đó/khi ấy,ເວລານັ້ນ,à ce moment‑là,当時/そのとき,당시/그때,в то время/тогда,damals/zu der Zeit,en aquel entonces
下班,xià bān,get off work,เลิกงาน,tan làm,ເລີກວຽກ,rentrer du travail/finir le boulot,退勤する/仕事が終わる,퇴근하다,закончить работу,Feierabend machen,salir del trabajo
堵车,dǔ chē,traffic jam,รถติด/ติดขัด,kẹt xe/tắc đường,ລົດຕິດ,embouteillage/bouchon,渋滞,교통 체증,пробка (на дороге),Stau,atasco
放弃,fàng qì,give up,ยอมแพ้/เลิก,từ bỏ/bỏ cuộc,ຖອນຕົວ/ລະທິ້ງ,abandonner/laisser tomber,あきらめる/放棄する,포기하다,отказаться/бросить,aufgeben,renunciar/dejar
乘,chéng,by (bus/car/train/plane/boat,โดยสาร/นั่ง (รถ/เรือฯ),đi bằng/cưỡi,ໂດຍ/ນັ່ງ (ພາຫະນະ),prendre (un moyen de transport),（乗り物に）乗る,타다,ездить на/плыть на,mit … fahren,ir en/tomar (transporte)
一路,yī lù,all the way,ตลอดทาง/ตลอดเส้น,suốt dọc đường,ຕະຫຼອດທາງ,tout le long (du trajet),道中ずっと,내내/길 내내,всю дорогу,den ganzen Weg,todo el camino
不满,bù mǎn,be dissatisfied/be discontented,ไม่พอใจ,bất mãn/không hài lòng,ບໍ່ພໍໃຈ,mécontent,不満だ,불만이다,недоволен,unzufrieden,insatisfecho
解释,jiě shì,explain/explanation,อธิบาย/คำอธิบาย,giải thích,ອະທິບາຍ,expliquer/explication,説明/解釈,설명/해석,объяснять/объяснение,erklären/Erklärung,explicar/explicación
难道,nán dào,used in a rhetorical question for emphasis,หรือว่า…(เน้นคำถาม),chẳng lẽ…,ຫຼືວ່າ… (ເນັ້ນຖາມ),est‑ce que… vraiment?,まさか…か,설마 …인가,неужели…,не etwa…?,¿acaso…?
访问,fǎng wèn,visit,เยี่ยม/เยือน/สัมภาษณ์,thăm/viếng/thăm hỏi,ເຂົ້າໄປເບິ່ງ/ຢ້ຽມ,rendre visite/visiter,訪問する,방문하다,нанести визит,besuchen,visitar
领导,lǐng dǎo,leader/boss,ผู้นำ/หัวหน้า,lãnh đạo,ຜູ້ນຳ/ຫົວໜ້າ,dirigeant/chef,指導者/リーダー,지도자/리더/상사,руководитель/начальство,Führungskraft/Leitung,líder/jefe
客户,kè hù,customer/client,ลูกค้า,khách hàng,ລູກຄ້າ,client,顧客/クライアント,고객,клиент,Kunde/Klient,cliente
好处,hǎo chu,benefit,ประโยชน์/ข้อได้เปรียบ,lợi ích/điểm tốt,ຜົນດີ/ປະໂຫຍດ,avantage/bienfait,利点/メリット,이점/장점,польза/выгода,Vorteil/Nutzen,ventaja/beneficio
黑暗,hēi àn,dark/darkness,มืดมิด/ความมืด,tối tăm/bóng tối,ຄວາມມືດ,obscurité/sombre,暗闇/暗い,어둠/어두운,тьма/темнота,Dunkelheit,oscuridad
扔,réng,throw/toss/throw away,โยน/ทิ้ง,ném/vứt,ໂຍນ/ຖິ້ມ,jeter/lancer,投げる/捨てる,던지다/버리다,бросать/выбрасывать,werfen/wegwerfen,tirar/botar
眼镜,yǎn jìng,glasses,แว่นตา,kính (mắt),ແວ່ນຕາ,lunettes,眼鏡,안경,очки,Brille,gafas
孤零零,gū líng líng,solitary/lonely,โดดเดี่ยว/เดียวดาย,cô độc/lẻ loi,ໂດດເດີ່ຍວ,esseulé/tout seul,ぽつんと/孤独な,외톨이로/쓸쓸히,одиноко/в одиночестве,einsam/verlassen,solo/aislado
椅子,yǐ zi,chair,เก้าอี้,ghế,ເກົ້າອີ້,chaise,椅子,의자,стул,Stuhl,silla
于是,yú shì,so/then/thereupon/hence,ก็เลย/ดังนั้นจึง,thế là/vậy là,ກໍເລີຍ/ດັ່ງນັ້ນ,alors/du coup,そこで/すると,그래서/그리하여,и тогда/вот,also/daraufhin,entonces/así que
离开,lí kāi,leave/depart,จากไป/ออกจาก,rời/đi khỏi,ອອກຈາກ/ຈາກໄປ,quitter/partir,離れる/去る,떠나다/헤어지다,уехать/покинуть,verlassen/weggehen,irse/dejar
长相,zhǎng xiàng,looks/features,หน้าตา/รูปร่างหน้าตา,dung mạo/diện mạo,ໜ້າຕາ/ໂລກໜ້າ,physionomie/traits,容姿/見た目,외모/생김새,внешность/черты лица,Aussehen,aspecto/rasgos
情人,qíng rén,lover,คนรัก/แฟน,người yêu/tình nhân,ຄົນຮັກ/ຄູ່ຮັກ,amant(e),恋人/愛人,연인/애인,любимый/любовник(ца),Geliebte/r,amante/pareja
