一切,yīqiè,all / everything,ทุกอย่าง/ทั้งหมด,mọi thứ/tất cả,ທຸກຢ່າງ/ທັງໝົດ,tout/ensemble,すべて/あらゆること,모든 것/전부,всё/всякое,alles,todo
电子邮箱,diànzǐ yóuxiāng,e-mail address,อีเมล,email/hộp thư điện tử,ອີເມວ,adresse e‑mail,メールアドレス,이메일 주소,электронная почта,E‑Mail‑Adresse,correo electrónico
极了,jí le,extremely (used behind an adjective),…มากๆ/สุดๆ,rất/… lắm,…ຫຼາຍໆ/ສຸດໆ,très/… à mort,めっちゃ/すごく,엄청/완전,очень/до ужаса,sehr/total,muy/ísimo
情况,qíngkuàng,situation / condition,สถานการณ์/สภาพ,tình hình,ສະຖານະການ,situation/état,状況/様子,상황/형편,ситуация/обстановка,Situation/Lage,situación
网络,wǎngluò,network / system,เน็ต/เครือข่าย,mạng/Internet,ເນັດ/ເຄືອຂ່າຍ,réseau/Internet,ネット/ネットワーク,네트워크/인터넷,сеть/интернет,Netz/Internet,red/internet
好像,hǎoxiàng,be like / seem,เหมือน/ดูเหมือนว่า,hình như/có vẻ như,ຄ້າຍ/ເບິ່ງຄືວ່າ,il semble que/on dirait,…っぽい/…みたい,…같다/…인 듯,похоже/как будто,scheint/als ob,parece que/como si
放心,fàng xīn,set one's mind at rest,วางใจ/ไม่ต้องห่วง,yên tâm/đừng lo,ວາງໃຈ/ບໍ່ຕ້ອງຫ່ວງ,rassure‑toi/être rassuré,安心する/心配しないで,안심하다/걱정 말아,не переживай/будь спокоен,beruhig dich/keine Sorge,tranquilo/no te preocupes
惯,guàn,be used to,เคยชิน/ชิน,quen/đã quen,ຄຸ້ນຊິນ,avoir l’habitude/être habitué,慣れている,익숙하다,привык/привычен,gewohnt/gewöhnt,acostumbrado
可惜,kěxī,regrettable / it's a pity,น่าเสียดาย,tiếc/đáng tiếc,ນ່າເສຍດາຍ,dommage/quel regret,惜しい/もったいない,아쉽다/안타깝다,жалко/как жаль,schade/leider,qué lástima
发,fā,send out,ส่ง/ปล่อย,gửi/phát,ສົ່ງ/ປ່ອຍ,envoyer/émettre,送る/発する,보내다/발하다,послать/отправить/выпустить,senden/abschicken,enviar
祝,zhù,wish / offer good wishes,อวยพร/ขอให้,chúc/ cầu chúc,ອວຍພອນ,souhaiter/féliciter,祝う/祈る,축원하다/기원하다,желать (в поздравлении),gratulieren/wünschen,desear/felicitar
笑脸,xiàoliǎn,smiling face,ใบหน้ายิ้มๆ/รอยยิ้ม,khuôn mặt tươi cười,ໃບໜ້າຍິ້ມ/ຮອຍຍິ້ມ,visage souriant/sourire,笑顔/にこにこ顔,웃는 얼굴/미소,улыбка/улыбающееся лицо,Lächeln,cara sonriente/sonrisa
声音,shēngyīn,voice / sound,เสียง,giọng/âm thanh,ສຽງ,voix/son,声/音,목소리/소리,голос/звук,Stimme/Ton,voz/sonido
闻,wén,smell,ดม/ได้กลิ่น,ngửi/nghe thấy (mùi),ດົມ/ຮູ້ກິ່ນ,sentir (odeur),匂いをかぐ/においを感じる,냄새를 맡다,чуять/чувствовать запах,riechen/wittern,oler
香味,xiāngwèi,aroma / sweet smell,กลิ่นหอม/หอมหวาน,hương thơm/mùi thơm,ກິ່ນຫອມ,parfum/arôme,香り/いい匂い,향기/향내,аромат/запах,Duft/Aroma,aroma/olor rico
