留学生,liú xué shēng,student studying abroad,นักเรียนต่างชาติ,du học sinh,ນັກສຶກສາຕ່າງປະເທດ,étudiant étranger,留学生 (ryūgakusei),유학생 (yuhaksaeng),иностранный студент,ausländischer Student,estudiante extranjero
她,tā,she/her,เธอ/เขา (ผู้หญิง),cô ấy/chị ấy/bà ấy,ລາວ (ຜູ້ຍິງ),elle,彼女 (kanojo),그녀 (geunyeo),она,sie,ella
学习,xué xí,learn/study,เรียน/เรียนรู้,học/học tập,ຮຽນ/ສຶກສາ,apprendre/étudier,学ぶ (manabu)/勉強する (benkyō suru),배우다 (baeuda)/공부하다 (gongbuhada),учиться/изучать,lernen/studieren,aprender/estudiar
他们,tā men,they/them,พวกเขา,họ/bọn họ/chúng nó,ພວກເຂົາ,ils/eux,彼ら (karera),그들 (geudeul),они/их,sie,ellos/ellas
们,men,used to form a plural number when added to a personal pronoun or a noun,พวก,chúng/các,ພວກ,(no direct equivalent),たち (tachi)/ら (ra),들 (deul),(no direct equivalent),(no direct equivalent),(no direct equivalent)
一起,yì qǐ,together,ด้วยกัน,cùng nhau,ນຳກັນ,ensemble,一緒に (issho ni),함께 (hamkke)/같이 (gachi),вместе,zusammen,juntos
上课,shàng kè,attend class/go to class/have class,เข้าเรียน,đi học/lên lớp/vào lớp,ເຂົ້າຫ້ອງຮຽນ,assister au cours/aller en cours/avoir cours,授業に出る (jugyō ni deru),수업에 참석하다 (sueobe chamseokada)/수업을 듣다 (sueobeul deutda),ходить на занятия/посещать занятия,am Unterricht teilnehmen/zum Unterricht gehen,asistir a clase/ir a clase/tener clase
说,shuō,speak/say/talk,พูด,nói,ເວົ້າ,parler/dire,話す (hanasu)/言う (iu),말하다 (malhada),говорить/сказать,sprechen/sagen,hablar/decir
吗,ma,used at the end of a question,ไหม,không/à/ư,ບໍ່,(indicated by intonation or "est-ce que"),か (ka),습니까 (seumnikka)/ㅂ니까 (mnikka),(indicated by intonation),(indicated by verb position/intonation),(indicated by intonation and question marks)
不,bù,not/no,ไม่,không,ບໍ່,non/ne...pas,いいえ (iie)/〜ない (~nai),아니요 (aniyo)/안 (an),нет/не,nein/nicht,no
日语,Rì yǔ,Japanese (language),ภาษาญี่ปุ่น,tiếng Nhật,ພາສາຍີ່ປຸ່ນ,japonais/langue japonaise,日本語 (Nihongo),일본어 (ilboneo),японский язык,Japanisch/japanische Sprache,japonés/idioma japonés
韩语,Hányǔ,Korean (language),ภาษาเกาหลี,tiếng Hàn,ພາສາເກົາຫຼີ,coréen/langue coréenne,韓国語 (Kankokugo),한국어 (hangugeo),корейский язык,Koreanisch/koreanische Sprache,coreano/idioma coreano
德语,Dé yǔ,German (language),ภาษาเยอรมัน,tiếng Đức,ພາສາເຢຍລະມັນ,allemand/langue allemande,ドイツ語 (Doitsugo),독일어 (dogireo),немецкий язык,Deutsch/deutsche Sprache,alemán/idioma alemán
意大利语,Yì dà lì yǔ,Italian (language),ภาษาอิตาลี,tiếng Ý,ພາສາອີຕາລີ,italien/langue italienne,イタリア語 (Itariago),이탈리아어 (italliaeo),итальянский язык,Italienisch/italienische Sprache,italiano/idioma italiano
西班牙语,Xī bān yá yǔ,Spanish (language),ภาษาสเปน,tiếng Tây Ban Nha,ພາສາສະເປນ,espagnol/langue espagnole,スペイン語 (Supeingo),스페인어 (seupeineo),испанский язык,Spanisch/spanische Sprache,español/idioma español
家,jiā,family/home,ครอบครัว/บ้าน,gia đình/nhà,ຄອບຄົວ/ເຮືອນ,famille/maison,家族 (kazoku)/家 (ie),가족 (gajok)/집 (jip),семья/дом,Familie/Zuhause,familia/casa/hogar
有,yǒu,have/possess/there be,มี,có,ມີ,avoir/il y a,持つ (motsu)/ある (aru)/いる (iru),있다 (itda),иметь/есть,haben/es gibt,tener/haber
口,kǒu,a measure word,คน,nhân khẩu/người,ຄົນ,(no direct equivalent measure word),人 (nin),명 (myeong)/식구 (sikgu),(no direct equivalent measure word),(no direct equivalent measure word),(no direct equivalent measure word)
爸爸,bà ba,father/dad,พ่อ,bố/ba/cha,ພໍ່,père/papa,お父さん (otōsan)/父 (chichi),아버지 (abeoji)/아빠 (appa),отец/папа,Vater/Papa,padre/papá
妈妈,mā ma,mother/mom,แม่,mẹ/má,ແມ່,mère/maman,お母さん (okāsan)/母 (haha),어머니 (eomeoni)/엄마 (eomma),мать/мама,Mutter/Mama,madre/mamá
哥哥,gē ge,elder brother,พี่ชาย,anh trai,ອ້າຍ,frère aîné,お兄さん (onīsan)/兄 (ani),형 (hyeong)/오빠 (oppa),старший брат,älterer Bruder/großer Bruder,hermano mayor
和,hé,and,และ/กับ,và,ແລະ/ກັບ,et,と (to),와 (wa)/과 (gwa)/하고 (hago),и,und,y
